# id    ra            dec          id_3DHST   ra_3DHST     dec_3DHST   z_IR     ez_IR    Mstar           xfAGN      xeAGN      SFR        eSFR       sSFR       SNR_IR   goodArea   m1400                m1700                S1400                   S1700                  
  509   189.406601    62.371994    -99        -99          -99         0.452    -1.0     3.732E9         0.1613     0.1613     1.289      0.9375     0.3454     1.375    0          -99                  -99                  -99                     -99                    
  510   189.2344666   62.3719101   -99        -99          -99         0.6798   -1.0     3.32599992E10   2.869      2.869      19.12      1.014      0.5748     20.92    0          -99                  -99                  -99                     -99                    
  512   189.3144989   62.3719177   38022      189.314439   62.371908   1.137    0.1898   1.412E9         0.9382     0.9382     10.13      4.547      7.172      3.315    1          25.84709219067659    25.671707136258988   1.6640375560760688E-7   1.9557671423273247E-7  
  516   189.3721008   62.372036    -99        -99          -99         2.201    2.2      0.0             8.739      8.739      342.1      342.1      -99.0      3.006    0          -99                  -99                  -99                     -99                    
  521   189.3558807   62.371479    37997      189.355863   62.37149    1.037    -1.0     1.26500004E10   0.8367     0.8367     9.473      6.502      0.7491     1.457    1          24.789354909534065   24.653524932296495   4.408166971132269E-7    4.995627263798684E-7   
  530   189.2914734   62.3712006   37979      189.291305   62.371264   0.64     -1.0     1.18000005E10   0.5874     0.4274     3.058      1.326      0.2591     3.302    1          24.184826333527763   24.01671143433852    7.692534747047599E-7    8.980808301088949E-7   
  532   189.306427    62.3711739   37957      189.306383   62.371177   0.9746   -1.0     2.89700004E10   4.724      4.724      42.15      2.158      1.455      19.54    1          24.905955738026798   24.249925080294247   3.959293571983028E-7    7.24485950547919E-7    
  533   189.3378601   62.3711395   37955      189.337824   62.371137   1.03     -1.0     7.1110001E10    0.3761     0.3761     4.491      3.292      0.06315    2.06     1          27.503503889854418   27.40286367423856    3.619082173074351E-8    3.9705852994873175E-8  
  540   189.4091949   62.3711014   -99        -99          -99         2.18     0.286    4.187E10        21.32      21.32      45.38      29.34      1.084      2.313    0          -99                  -99                  -99                     -99                    
  541   189.2628021   62.3708839   -99        -99          -99         0.801    -1.0     7.6200002E10    1.994      1.994      11.41      1.201      0.1497     9.502    1          -99                  -99                  -99                     -99                    
  546   189.2455139   62.370842    -99        -99          -99         3.23     0.1635   1.02799999E11   78.03      78.03      565.3      183.3      5.5        6.574    1          -99                  -99                  -99                     -99                    
  547   189.2478333   62.3703156   -99        -99          -99         2.757    0.145    5.2720001E10    137.5      137.5      465.6      171.0      8.832      9.705    1          -99                  -99                  -99                     -99                    
  548   189.2892303   62.3707123   37960      189.289228   62.370717   1.78     0.25     2.24900006E11   27.76      27.76      118.2      47.97      0.5256     8.47     1          26.08794144221473    25.485417303805335   1.3329793549288845E-7   2.321844221859971E-7   
  550   189.3953552   62.3708954   -99        -99          -99         0.9891   0.0599   3.326E8         0.3065     0.3065     3.663      3.663      11.01      0.0      0          -99                  -99                  -99                     -99                    
  552   189.3175201   62.3705864   37947      189.317505   62.370586   0.5045   -1.0     1.12699996E10   1.084      1.084      4.476      0.3491     0.3971     12.82    1          23.726435843050535   23.699302223090267   1.17334482657497E-6     1.203037349896511E-6   
  554   189.2380066   62.3705254   -99        -99          -99         0.68     -1.0     5.3949998E9     0.4792     0.4792     4.378      0.8599     0.8116     5.091    0          -99                  -99                  -99                     -99                    
  559   189.2335205   62.370388    -99        -99          -99         1.26     0.203    6.6369999E10    18.56      18.56      55.87      25.07      0.8418     8.942    0          -99                  -99                  -99                     -99                    
  561   189.3757019   62.3700027   -99        -99          -99         1.39     0.215    1.18000005E10   4.322      3.578      12.85      23.58      1.089      0.545    0          -99                  -99                  -99                     -99                    
  562   189.4066467   62.3701706   -99        -99          -99         2.731    0.0725   5.152E10        9.124      9.124      43.93      31.19      0.8527     3.513    0          -99                  -99                  -99                     -99                    
  564   189.2994995   62.3700371   37963      189.299228   62.370091   4.055    -1.0     1.78600002E11   24.52      24.52      1726.0     86.59      9.662      19.93    1          24.312395728105596   24.143810056677175   6.839773319738836E-7    7.988697516347957E-7   
  581   189.3711243   62.3696136   -99        -99          -99         1.31     0.208    3.17699994E9    1.484      1.484      9.201      9.809      2.897      0.938    1          -99                  -99                  -99                     -99                    
  593   189.3899994   62.3689957   -99        -99          -99         1.45     0.221    2.46600008E10   11.74      11.74      66.38      27.6       2.692      5.774    0          -99                  -99                  -99                     -99                    
  597   189.2703552   62.3690376   -99        -99          -99         2.28     0.295    4.4870001E9     0.03863    0.03863    39.77      41.6       8.863      0.956    1          -99                  -99                  -99                     -99                    
  598   189.2923431   62.3685188   37899      189.292192   62.368414   1.364    -1.0     3.7319999E10    21.89      21.89      33.46      14.55      0.8965     7.203    1          24.88421091386312    24.585665360167038   4.0393885908719293E-7   5.317822729628201E-7   
  604   189.4406281   62.368679    -99        -99          -99         0.5778   0.14     6.7910001E9     0.3149     0.3149     3.91       100.3      0.5757     0.039    0          -99                  -99                  -99                     -99                    
  606   189.2661896   62.3686371   -99        -99          -99         1.008    -1.0     8.7489997E9     0.7351     0.7351     5.364      5.364      0.6131     0.0      1          -99                  -99                  -99                     -99                    
  620   189.2494202   62.3682442   -99        -99          -99         0.8      -1.0     1.10099999E10   1.031      1.031      7.361      1.144      0.6683     6.433    1          -99                  -99                  -99                     -99                    
  621   189.2638092   62.3682137   -99        -99          -99         2.48     0.313    5.034E10        101.4      101.4      211.6      96.02      4.203      7.658    1          -99                  -99                  -99                     -99                    
  622   189.2983856   62.368309    37917      189.29835    62.368309   1.33     0.21     1.55599995E10   1.891      1.891      13.0       10.2       0.8356     2.131    1          25.876869795759426   25.63719390903831    1.6190195080614168E-7   2.0189354623014268E-7  
  628   189.3333435   62.3680763   37909      189.333299   62.368076   1.255    -1.0     6.9500001E9     0.6389     0.6389     9.536      4.075      1.372      2.34     1          24.93154442597697    24.59065831854912    3.8670717460638455E-7   5.293423884345643E-7   
  631   189.3711548   62.3680801   -99        -99          -99         1.39     0.215    4.28499994E9    4.993      3.091      29.81      13.34      6.957      3.351    0          -99                  -99                  -99                     -99                    
  637   189.4125824   62.3677406   -99        -99          -99         0.503    -1.0     2.05099991E10   0.8447     0.8447     2.921      0.5509     0.1424     5.302    0          -99                  -99                  -99                     -99                    
  638   189.4360352   62.3677368   -99        -99          -99         0.711    -1.0     6.9500002E10    4.465      4.465      22.85      2.114      0.3288     10.81    0          -99                  -99                  -99                     -99                    
  652   189.2431946   62.3675156   -99        -99          -99         1.765    0.058    1.45200005E10   9.6        4.307      31.23      8.91       2.151      3.505    1          -99                  -99                  -99                     -99                    
