#            id        id_3DHST          SNR_IR        goodArea            z_IR              dL           Mstar           xfAGN           xeAGN          SFR_IR         eSFR_IR          SFR_UV           S1400           S1700      SFR_UV1400      SFR_UV1700    SFR_UV_from_Mstar    SFR_UV_for_noUV_noMstar         SFR_UV_for_AGN              SFR_total           SFR_UV_method
#
            481             -99           3.638               0           0.179         845.419       2.965e+07         0.02249         0.01194          0.1128         0.07389        0.025184             -99             -99             -99             -99             0.025184                        -99                    -99               0.137984                    2.5
            482             -99               0               0            2.27         17884.9       9.816e+09           9.933           9.933           29.43           29.43         6.02673             -99             -99             -99             -99              6.02673                        -99                    -99                35.4567                    2.0
            490             -99               0               0           1.119         7425.53       3.177e+09          0.5189          0.5189           7.105           7.105         1.58628             -99             -99             -99             -99              1.58628                        -99                    -99                8.69128                    2.5
            498           38039           4.438               1            4.36         39361.9       2.249e+10           247.7           131.2             360           81.12         39.5894     2.63841e-07     3.49529e-07         39.5894         52.4469               23.095                        -99                    -99                399.589                    1.0
            501             -99           2.841               0            2.41         19247.3       9.161e+09           4.904           4.904           27.95           22.59         6.30466             -99             -99             -99             -99              6.30466                        -99                    -99                34.2547                    2.0
            502             -99               0               1            2.36         18759.1       1.208e+10           5.935           5.935           26.43           26.43         4.04765             -99             -99             -99             -99              4.04765                        -99                    -99                30.4777                    2.0
            503           38030               0               1            2.26         17788.2       1.706e+10           6.955           6.955           21.48           21.48         8.40429     2.74255e-07     3.60624e-07         8.40429          11.051              2.02891                        -99                    -99                29.8843                    1.0
            505             -99               0               0           2.833         23445.9       3.647e+09           10.44           10.44           69.35           69.35         15.4832             -99             -99             -99             -99              15.4832                        -99                    -99                84.8332                    2.5
            506             -99           2.339               1           0.401         2102.79           1e-99         0.02962         0.02962          0.3754          0.1721       0.0410144             -99             -99             -99             -99                  -99                  0.0410144                    -99               0.416414                    3.0
            509             -99           1.375               0           0.452          2428.9       3.732e+09          0.1613          0.1613           1.289          0.9375        0.287785             -99             -99             -99             -99             0.287785                        -99                    -99                1.57678                    2.5
            510             -99           20.92               0          0.6798         3995.81       3.326e+10           2.869           2.869           19.12           1.014        0.709246             -99             -99             -99             -99             0.709246                        -99                    -99                19.8292                    2.0
            512           38022           3.315               1           1.137         7575.12       1.412e+09          0.9382          0.9382           10.13           4.547        0.924753     1.66404e-07     1.95577e-07        0.924753         1.08688              2.26165                        -99                    -99                11.0548                    1.0
            516             -99           3.006               0           2.201           17219           1e-99           8.739           8.739           342.1           342.1         37.3762             -99             -99             -99             -99                  -99                    37.3762                    -99                379.476                    3.0
            521           37997           1.457               1           1.037         6751.89       1.265e+10          0.8367          0.8367           9.473           6.502         1.94622     4.40817e-07     4.99563e-07         1.94622         2.20559              1.36007                        -99                    -99                11.4192                    1.0
            530           37979           3.302               1            0.64         3710.36        1.18e+10          0.5874          0.4274           3.058           1.326         1.02562     7.69253e-07     8.98081e-07         1.02562         1.19738             0.483952                        -99                    -99                4.08362                    1.0
            532           37957           19.54               1          0.9746         6248.28       2.897e+10           4.724           4.724           42.15           2.158           1.497     3.95929e-07     7.24486e-07           1.497         2.73926              1.89701                        -99                    -99                 43.647                    1.0
            533           37955            2.06               1            1.03            6695       7.111e+10          0.3761          0.3761           4.491           3.292        0.157102     3.61908e-08     3.97059e-08        0.157102        0.172361            0.0574963                        -99                    -99                 4.6481                    1.0
            540             -99           2.313               0            2.18         17017.1       4.187e+10           21.32           21.32           45.38           29.34         1.21955             -99             -99             -99             -99              1.21955                        -99                    -99                46.5996                    2.0
            541             -99           9.502               1           0.801         4893.86        7.62e+10           1.994           1.994           11.41           1.201        0.132602             -99             -99             -99             -99             0.132602                        -99                    -99                11.5426                    2.0
            546             -99           6.574               1            3.23         27482.4       1.028e+11           78.03           78.03           565.3           183.3         4.32005             -99             -99             -99             -99              4.32005                        -99                    -99                 569.62                    2.0
