# id    id_3DHST   SNR_IR   goodArea   z_IR     dL        Mstar           xfAGN      xeAGN      SFR_IR     eSFR_IR    SFR_UV       S1400        S1700        SFR_UV1400   SFR_UV1700   SFR_UV_from_Mstar   SFR_UV_for_noUV_noMstar   SFR_UV_for_AGN   SFR_total   SFR_UV_method   SFR_IR/SFR_total     
  502   -99        0.0      1          2.36     18759.1   1.208E10        5.935      5.935      26.43      26.43      4.04765      -99.0        -99.0        -99.0        -99.0        4.04765             -99.0                     -99.0            30.4777     2.0             0.8671914219248829   
  503   38030      0.0      1          2.26     17788.2   1.70599997E10   6.955      6.955      21.48      21.48      8.40429      2.74255E-7   3.60624E-7   8.40429      11.051       2.02891             -99.0                     -99.0            29.8843     1.0             0.7187720642611672   
  505   -99        0.0      0          2.833    23445.9   3.64700006E9    10.44      10.44      69.35      69.35      15.4832      -99.0        -99.0        -99.0        -99.0        15.4832             -99.0                     -99.0            84.8332     2.5             0.8174865500770924   
  506   -99        2.339    1          0.401    2102.79   0.0             0.02962    0.02962    0.3754     0.1721     0.0410144    -99.0        -99.0        -99.0        -99.0        -99.0               0.0410144                 -99.0            0.416414    3.0             0.9015066736468995   
  509   -99        1.375    0          0.452    2428.9    3.732E9         0.1613     0.1613     1.289      0.9375     0.287785     -99.0        -99.0        -99.0        -99.0        0.287785            -99.0                     -99.0            1.57678     2.5             0.8174888063014497   
  510   -99        20.92    0          0.6798   3995.81   3.32599992E10   2.869      2.869      19.12      1.014      0.709246     -99.0        -99.0        -99.0        -99.0        0.709246            -99.0                     -99.0            19.8292     2.0             0.9642345631694673   
  512   38022      3.315    1          1.137    7575.12   1.412E9         0.9382     0.9382     10.13      4.547      0.924753     1.66404E-7   1.95577E-7   0.924753     1.08688      2.26165             -99.0                     -99.0            11.0548     1.0             0.9163440315519051   
  516   -99        3.006    0          2.201    17219.0   0.0             8.739      8.739      342.1      342.1      37.3762      -99.0        -99.0        -99.0        -99.0        -99.0               37.3762                   -99.0            379.476     3.0             0.9015062876176623   
  521   37997      1.457    1          1.037    6751.89   1.26500004E10   0.8367     0.8367     9.473      6.502      1.94622      4.40817E-7   4.99563E-7   1.94622      2.20559      1.36007             -99.0                     -99.0            11.4192     1.0             0.8295677455513522   
  530   37979      3.302    1          0.64     3710.36   1.18000005E10   0.5874     0.4274     3.058      1.326      1.02562      7.69253E-7   8.98081E-7   1.02562      1.19738      0.483952            -99.0                     -99.0            4.08362     1.0             0.7488453871809816   
  532   37957      19.54    1          0.9746   6248.28   2.89700004E10   4.724      4.724      42.15      2.158      1.497        3.95929E-7   7.24486E-7   1.497        2.73926      1.89701             -99.0                     -99.0            43.647      1.0             0.9657021101106605   
  533   37955      2.06     1          1.03     6695.0    7.1110001E10    0.3761     0.3761     4.491      3.292      0.157102     3.61908E-8   3.97059E-8   0.157102     0.172361     0.0574963           -99.0                     -99.0            4.6481      1.0             0.9662012435188571   
  540   -99        2.313    0          2.18     17017.1   4.187E10        21.32      21.32      45.38      29.34      1.21955      -99.0        -99.0        -99.0        -99.0        1.21955             -99.0                     -99.0            46.5996     2.0             0.9738281015287685   
  541   -99        9.502    1          0.801    4893.86   7.6200002E10    1.994      1.994      11.41      1.201      0.132602     -99.0        -99.0        -99.0        -99.0        0.132602            -99.0                     -99.0            11.5426     2.0             0.9885121203195121   
  546   -99        6.574    1          3.23     27482.4   1.02799999E11   78.03      78.03      565.3      183.3      4.32005      -99.0        -99.0        -99.0        -99.0        4.32005             -99.0                     -99.0            569.62      2.0             0.9924159966293318   
  547   -99        9.705    1          2.757    22683.2   5.2720001E10    137.5      137.5      465.6      171.0      9.06249      -99.0        -99.0        -99.0        -99.0        9.06249             -99.0                     -99.0            474.662     2.0             0.9809085201680354   
