#            id              z           maxz            snr         maxzsnr
#
           1753            1.2           1.34          6.466        5.04597
           1762          2.068          3.168          15.66        5.06901
           1764         0.2985            -99          1.304            -99
           1775          1.796            -99         0.1078            -99
           1779         0.9647            -99          2.155            -99
           1813           1.57            -99            1.6            -99
           1814           1.63            -99          2.071            -99
           1818          1.569            -99           3.26            -99
           1822         0.4213            -99          1.493            -99
           1824          1.751            -99          1.661            -99
           1836         0.2544            -99           1.84            -99
           1843         0.6348            -99          2.433            -99
           1847          0.903            -99          4.074            -99
           1850            2.4            -99          3.921            -99
           1855          1.186            -99          1.255            -99
           1859         0.5856            -99          2.328            -99
           1865          1.153            -99         0.4377            -99
           1866          1.083          1.183          6.737        5.17523
           1870            1.8            -99         0.3956            -99
           1880          0.858          1.098          9.618        5.11731
           1886          3.134            -99        0.03916            -99
           1894          1.011            -99          2.085            -99
           1899          1.015            -99           1.12            -99
           1907         0.5857            -99          4.008            -99
           1908         0.5857            -99          2.375            -99
           1918         0.2768            -99          2.661            -99
           1919         0.8618            -99      4.478e-05            -99
           1921           4.26           4.88          5.017        5.00772
           1930          0.937          1.617          29.89        5.02928
           1937         0.2777            -99          2.328            -99
           1938         0.2771            -99         0.7961            -99
           1944           1.38           1.38          5.142              0
           1945          3.696          8.696          6.544        5.43596
           1951          1.012            -99          4.419            -99
           1960         0.8955            -99          1.752            -99
           1961         0.5574            -99         0.5386            -99
           1968          1.145            -99          3.164            -99
           1973          1.491          1.551          5.561        5.02884
           1990          3.096            -99          1.965            -99
           1999          3.073            -99         0.8492            -99
           2007          2.643            -99          2.926            -99
           2022          1.855            -99         0.2624            -99
           2025            1.2           1.34           6.79        5.17634
           2032          1.713            -99        0.05043            -99
           2046         0.6953            -99       5.03e-05            -99
           2052          1.243            -99         0.4486            -99
           2054          1.185          1.745          5.868        5.14139
           2056         0.7781         0.8981          5.492        5.26526
           2059          1.192            -99         0.7125            -99
           2061         0.9015         1.3415          14.17         5.1239
           2089           0.71            -99          1.131            -99
           2094         0.4379         0.8179          49.92        5.06867
           2099           4.25            -99          2.099            -99
           2101          1.479            -99          1.067            -99
           2106           2.29            -99          2.057            -99
           2115          1.027            -99      5.835e-05            -99
           2124         0.8454            -99          4.185            -99
