#            id              z           maxz            snr         maxzsnr
#
           2032          1.642            -99          0.045            -99
           2046         0.6953            -99              0            -99
           2052          1.283            -99          0.634            -99
           2054          1.165            -99          4.791            -99
           2056         0.7781         0.8781           5.64        5.01847
           2059          1.192            -99          0.833            -99
           2061         0.9015         1.3015          12.69        5.13621
           2089           0.71            -99          0.913            -99
           2094         0.4379         0.8179          46.32        5.09304
           2099          4.226            -99          2.022            -99
           2101          1.445            -99          0.737            -99
           2106           2.29            -99          1.976            -99
           2115          1.027            -99              0            -99
           2124         0.8454            -99          3.788            -99
           2129           1.23            -99          2.696            -99
           2135          1.006          2.026          80.73        5.02616
           2137           2.39            -99          0.429            -99
           2140          2.962            -99          3.327            -99
           2141          0.284          0.424          17.45        5.40609
           2144         0.3772         0.4372          7.408        5.13564
           2147         0.4737            -99            4.2            -99
           2150          1.016            -99          4.056            -99
           2152          1.971            -99          2.902            -99
           2160          1.036            -99          4.275            -99
           2163         0.3196            -99          3.723            -99
           2175          3.239            -99          2.678            -99
           2181         0.7325            -99          0.911            -99
           2185          1.906            -99          3.262            -99
           2189         0.2778            -99          1.087            -99
           2192         0.4842            -99              0            -99
           2195         0.9352            -99           0.67            -99
           2196          1.055            -99          2.097            -99
           2197          1.147            -99          0.957            -99
           2202          1.016            -99          4.729            -99
           2229           1.01            -99          4.788            -99
           2231           2.08            -99              0            -99
           2234         0.5072         0.5072          5.214        5.44344
           2239          0.247            -99          0.433            -99
           2252          1.792            -99          1.669            -99
           2256         0.2775         0.5175          73.61        5.00155
           2262         0.9436            -99          0.638            -99
           2266         0.2712         0.4312          24.89         5.1744
           2268           1.66            -99          1.257            -99
           2272          1.948            -99          3.482            -99
           2290          0.981            -99          1.329            -99
           2295         0.2767         0.2967          8.146        5.62062
           2296          1.017            -99          4.024            -99
           2297         0.8042            -99          2.901            -99
           2314         0.9201            -99          1.403            -99
           2318         0.9352            -99          3.737            -99
           2320          3.768          5.328          6.051        5.00113
           2323           2.23            -99          3.551            -99
           2324           2.29           4.03          26.92        5.04377
           2327         0.2733         0.2733          5.004              0
           2328         0.4605         0.7605          30.57        5.20828
           2330          1.157            -99           1.16            -99
           2331          1.146            -99          0.956            -99
           2336          1.013          1.333          10.67        5.19526
           2337           4.09            -99          3.323            -99
           2342         0.8392            -99          2.238            -99
           2347         0.9591            -99          2.359            -99
           2357          2.103            -99          0.744            -99
           2359         0.3186            -99           4.07            -99
           2360          1.491          1.671          7.028        5.00602
           2365          1.492            -99          3.884            -99
           2369          2.784            -99          0.629            -99
           2374           1.58            -99          3.572            -99
           2376         0.4859            -99          2.297            -99
           2378         0.2775            -99          0.814            -99
           2387          2.099            -99          0.627            -99
           2395         0.4468            -99              0            -99
           2399           2.29            -99          2.517            -99
           2408         0.5287         0.5687          6.241        5.18362
           2412          0.836            -99          1.213            -99
           2417          1.067            -99          2.485            -99
           2418          1.052            -99          4.045            -99
           2432           1.27           1.53           8.59        5.17725
           2433         0.8126            -99          1.352            -99
           2440         0.8253         1.1253           11.2         5.0149
           2449         0.5476            -99           4.06            -99
           2455          1.145          1.965          21.38        5.00692
           2463         0.2113         0.3713          50.49        5.52416
           2488          0.875          0.995           7.96        5.23477
           2489          2.369          6.669          9.231        5.00764
           2500          1.792            -99          2.395            -99
           2509          1.082            -99          0.679            -99
           2510         0.6823            -99          0.263            -99
           2513          1.028          1.208          7.742        5.13148
           2518         0.6342         0.6542          5.264        5.08622
           2524          1.423            -99          2.148            -99
           2525          1.142          1.562          11.59        5.03719
           2540          2.295          2.675          7.662        5.08838
           2543         0.9365            -99          1.271            -99
           2544         0.9119            -99              0            -99
           2552          4.032            -99          0.167            -99
           2561           1.27            -99          2.803            -99
           2569         0.3813            -99          3.289            -99
           2574         0.5378            -99          1.454            -99
           2577          1.873            -99          4.648            -99
           2578           2.14            -99          0.981            -99
           2587           2.52            -99          1.448            -99
           2588         0.5869            -99          0.983            -99
           2591          2.123            -99          1.781            -99
           2592          4.744          9.164          16.33        5.00205
           2594          1.152          1.392          8.285        5.00404
           2596          2.179            -99          2.173            -99
           2605          1.239            -99          2.465            -99
           2608          1.255            -99              0            -99
           2615          0.944            -99           3.16            -99
           2619          2.227            -99              0            -99
           2622          0.401            -99          3.424            -99
           2625         0.8352         1.2152          13.86        5.02548
           2643           1.28           1.54          8.647        5.06166
           2648         0.8299            -99          2.686            -99
           2652          1.224            -99          1.042            -99
           2655          3.273            -99          0.057            -99
           2660         0.8751            -99          1.394            -99
           2667           1.26            -99          2.981            -99
           2668          2.657            -99          0.935            -99
           2670          0.947          0.987          5.378        5.06421
           2671         0.2311            -99          1.642            -99
           2674          1.993            -99          0.539            -99
           2677          2.197            -99          1.014            -99
           2681           3.11            -99          0.226            -99
           2682          0.946            -99          4.891            -99
           2683           1.54            -99          2.654            -99
           2687         0.3565            -99          3.478            -99
           2697          3.672            -99          4.317            -99
           2705          1.121            -99              0            -99
           2715          1.311            -99          4.184            -99
           2716          1.985            -99              0            -99
           2720          1.224            -99          2.145            -99
           2722          2.139            -99          1.155            -99
           2725          1.147            -99          1.903            -99
           2728          1.147          1.947          21.73        5.04977
           2738          1.987          2.667          10.68         5.0684
           2739          0.972          1.272          9.625        5.15571
           2740              1            -99          1.391            -99
           2741         0.9719            -99          1.345            -99
           2746          1.221          1.681          13.28        5.13997
           2758         0.8199            -99          1.237            -99
           2767          1.346            -99           4.85            -99
           2769           2.44            -99          1.157            -99
           2776         0.2111            -99          2.254            -99
           2778           2.11            -99          1.061            -99
           2785           1.62            -99              0            -99
           2794          0.201            -99           0.79            -99
           2805          2.463            -99              0            -99
           2806          1.878          1.878          5.047              0
           2813          1.851            -99          3.558            -99
           2818          0.051          0.071          13.01        5.43091
           2822            1.5            -99          3.842            -99
           2825         0.6809         0.8209          8.623        5.05279
           2831          2.094            -99          1.831            -99
           2841         0.7433         1.1233          25.09        5.04055
           2856         0.8035            -99          3.632            -99
           2870           1.61            -99          1.935            -99
           2874          1.599          1.739          6.579        5.06239
           2877          1.363            -99          3.384            -99
           2878         0.9544         1.1944          9.204        5.01137
           2880          2.109            -99              0            -99
           2884           1.37            -99              0            -99
           2888          0.748            -99          0.732            -99
