#        ralist          delist     bdlist     cklist       Xmlist
#
    189.1181911      62.1797488        250          1      2.33055
    189.1230497      62.1796231         16          1     -1.08953
    189.2766487      62.1792058        100          1       6.8759
    189.1233250      62.1781303        250          1      1.46807
    189.2722719      62.1780895        100          1      6.58864
    189.2050961      62.1773381        100          1      6.46591
    189.2168457      62.1769338        100          1      9.12962
    189.1274708      62.1760615        250          1      1.01943
    189.0588142      62.1750009        250          1      1.97154
    189.0594506      62.1741652        250          1      1.65136
    189.0401257      62.1732213        250          1      2.90232
    189.0533549      62.1725953        250          1      0.75834
    189.0418250      62.1721113        250          1      0.82015
    189.0430965      62.1718894        250          1     0.814523
    189.0430901      62.1715366        250          1      2.27858
    189.1140149      62.1715150        100          1      6.88042
    189.0400905      62.1713479        250          1      1.79697
    189.0639338      62.1710979        250          1      2.67808
    189.1975294      62.1708001        100          1      8.81078
    189.0412388      62.1707140        250          1       1.5099
    189.0539034      62.1697061        250          1     0.873846
    189.0690572      62.1664173         16          1    -0.876813
    189.0748326      62.1662964        250          1      1.94168
    189.2517118      62.1661652         16          1     -1.29914
    189.2454614      62.1649471        100          1      8.91731
    189.1393905      62.1645109        500          1      2.55048
    189.1783965      62.1631986        100          1       8.4712
    189.1017109      62.1630424        160          1      4.20438
    189.2594957      62.1607901        250          1      1.57641
    189.2772777      62.1581677        160          1      5.70553
    189.2330448      62.1561530        250          1      2.45615
    189.2304506      62.1556289        250          1      1.46978
    189.2302219      62.1555225        250          1      2.85623
    189.1698547      62.1532311        250          1      2.27048
    189.2343395      62.1527588        350          1     0.344056
    189.1395766      62.1525833        250          1      1.30318
    189.1340962      62.1513186        100          1      6.75757
    189.1854193      62.1497767        250          1      1.80067
    189.1482722      62.1497299        500          1      1.42497
    189.1819730      62.1495666        250          1      1.45122
    189.2532183      62.1493747         16          1     0.630138
    189.1871890      62.1478467        250          1      0.85528
    189.1832788      62.1467053        250          1      1.13567
    189.1898282      62.1450838        250          1      1.28428
    189.1905370      62.1438542        350          1      2.42179
    189.0962699      62.1438484        250          1      1.87722
    189.0978612      62.1436620        250          1      1.97957
    189.0964479      62.1434587        250          1      1.95407
    189.1896819      62.1428305        350          1      2.39127
    189.2319808      62.1364354        250          1      2.69859
    189.2338681      62.1325663        250          1      1.09667
    189.2221418      62.1317683        250          1     0.859562
    189.1589765      62.1259921         16          1     -1.46008
    189.1554136      62.1227682        160          1      6.99357
    189.1504776      62.1225965        250          1      1.01456
    189.1824361      62.1223538        100          1      9.75985
    189.1543197      62.1222372        160          1      8.47484
    189.1922904      62.1087207        160          1      5.23856
