#      Type_SED        SAVEDid          lgSFR          msSFR          xfSFR          xeSFR           MassX
#
             -1           1618        1.37658        1.71414           23.8          1.215          11.03
             -1           1622       0.761853        1.01463          5.779          1.354          10.14
              0           1626       0.801609        1.05933          6.333           2.81          9.688
              0           1629        1.51865        2.08903          33.01          20.02          10.84
              0           1631        1.45301        1.78601          28.38          12.13          10.75
              0           1633       0.607026       0.257953          4.046         0.1209          9.818
             -1           1634       0.137671       0.184245          1.373         0.3645          9.318
              0           1638        0.54083       0.999734          3.474          2.066          10.34
             -1           1644       0.309204        1.46096          2.038         0.4875          11.03
             -1           1648        2.14829        2.45902          140.7          21.25          11.52
              0           1650        1.87442        1.84814          74.89          73.98          10.34
             -1           1651         2.5392        2.73741          346.1          111.2           11.5
              0           1662       0.417472       0.587741          2.615           1.41          9.638
             -1           1673       -2.27794        1.10018       0.005273       0.001177          11.19
              0           1693      0.0561423        1.72319          1.138         0.5125          11.61
              0           1702        1.29557       0.931857          19.75          15.77          9.288
              0           1709        1.02572        1.41743          10.61          6.545          10.52
             -1           1710        1.23477        1.27046          17.17          4.745          9.988
              0           1711      0.0852906       0.374663          1.217         0.5296          9.518
             -1           1712        2.06781        2.08098          116.9          34.34          10.86
              0           1717        0.46449        1.82354          2.914          1.178          11.17
              0           1724        1.03583         1.2596          10.86          5.099          10.48
              0           1734        1.71759        1.62867          52.19          18.69          10.16
             -1           1735        2.91834        3.22126          828.6          190.4             12
             -1           1737        1.25768         1.6222           18.1          1.458          10.82
              0           1740       0.548881       0.722604          3.539          2.139          9.888
             -1           1741       0.881213        1.27772          7.607         0.8618          10.47
              0           1747        1.26482        1.68375           18.4            8.2          10.42
             -1           1753        1.33925        1.83559          21.84          3.163          11.05
             -1           1762        2.26007         2.1345            182          26.52          10.98
              0           1764       -1.40154      -0.447264        0.03967        0.03497          8.948
             -1           1775        1.21827        1.24928          16.53          5.305          9.978
              0           1779       0.636889       0.702977          4.334          1.629          9.788
              0           1813        1.00303        1.64124          10.07          5.998          10.58
              0           1814        1.16938        2.15586          14.77           10.2           11.2
             -1           1818        1.25358        1.43542          17.93          5.388          10.32
              0           1822      -0.125692       0.182602         0.7487         0.6025          9.618
              0           1824        1.72713       -84.8551          53.35          53.35            -99
             -1           1836      -0.723538       0.131802          0.189        0.03853          9.728
              0           1843       0.372544       0.622787          2.358         0.8876          9.968
             -1           1847        0.71792        1.06085          5.223          1.654          10.29
              0           1850         1.7707        1.23179          58.98          45.03          9.728
              1           1855       0.647579     -0.0840652          4.442          1.055          8.838
             -1           1859       0.045323      0.0965985           1.11         0.2831          9.348
              0           1865        0.55582         1.1622          3.596          1.658          10.23
             -1           1866         1.3251          1.178          21.14          2.807           10.3
              0           1870        1.08422        1.35076          12.14          6.157          10.14
             -1           1880        1.01157        1.54528          10.27          3.133          10.94
              0           1886        1.78561        1.59451          61.04          36.41          10.03
             -1           1894       0.667453       0.857559           4.65          1.083          9.948
              0           1899       0.567497       0.733559          3.694          2.011          9.788
             -1           1907      0.0519239      0.0650733          1.127         0.2204          9.308
             -1           1908       0.322012       0.325773          2.099         0.3588          9.638
              0           1918      -0.753994      -0.283773         0.1762         0.0911          9.178
              0           1919       0.195623       -0.12072          1.569         0.6511          8.828
              1           1921        2.58636        1.78773          385.8          19.33          10.17
              1           1930        1.61002        1.00334          40.74         0.8493          10.19
             -1           1937       -0.77963      -0.543715         0.1661        0.01179          8.848
             -1           1938       -0.75995       -0.75752         0.1738        0.03074          8.578
              0           1944        1.27761        1.94786          18.95          6.446          11.02
              1           1945        2.55328        2.13804          357.5          41.92          10.65
             -1           1951       0.960042        1.08094          9.121          2.271          10.23
              0           1960       0.634376       0.937551          4.309          2.363          10.14
              0           1961       0.137037     -0.0273252          1.371         0.1945          9.218
              0           1968       0.875756        1.30787          7.512          2.686          10.42
             -1           1973        1.37236        1.62278          23.57          5.082           10.6
