# z_spec   ref_z_spec  
  0.207    81          
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  0.799    72          
  1.009    72          
  2.193    104         
  -99.0    -99         
  1.675    81          
  0.8506   21          
  1.0      72          
  0.6973   21          
  0.4577   21          
  0.821    72          
  3.105    34          
  0.974    72          
  -99.0    -99         
  -99.0    -99         
  0.971    81          
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  -99.0    72          
  -99.0    81          
  -99.0    -99         
  0.3953   23          
  -99.0    -99         
  -99.0    -99         
  -99.0    -99         
  0.3369   21          
  0.912    72          
  -99.0    -99         
  0.8495   21          
  -99.0    -99         
  0.772    72          
  -99.0    -99         
  0.4839   102         
  2.545    34          
  1.206    72          
  -99.0    -99         
  1.023    81          
  0.849    72          
  0.845    10          
  0.8494   21          
  0.821    81          
  0.6387   21          
  0.9365   23          
  -99.0    -99         
  -99.0    -99         
