# id    ra            dec          zSpec    zQuality   zssn  
  1650  189.4679718   62.3407135   -1.0     -99        -99   
  1651  189.2563782   62.340229    -1.0     3          72    
  1662  189.3305817   62.3396454   -1.0     -99        -99   
  1673  189.4387207   62.3399162   0.04     1          72    
  1693  189.1852875   62.3395195   -1.0     -99        -99   
  1702  189.2527618   62.3397217   -1.0     -99        -99   
  1709  189.1875      62.3394661   -1.0     -99        -99   
  1710  189.1932983   62.3393936   -1.0     -99        -99   
  1711  189.2325897   62.3393707   -1.0     -99        -99   
  1712  189.2605896   62.3392334   2.216    -1         81    
  1717  189.2213898   62.3390427   1.012    1          72    
  1724  189.3922424   62.3389015   -1.0     -99        -99   
  1734  189.1467438   62.3388824   -1.0     -99        -99   
  1735  189.1885529   62.3387527   -1.0     -99        -99   
  1737  189.398056    62.3384171   1.142    1          21    
  1740  189.1666412   62.3382645   -1.0     -99        -99   
  1741  189.223114    62.3384666   1.024    1          72    
  1747  189.1551056   62.3382416   -1.0     -99        -99   
  1753  189.4359436   62.3381729   1.2      1          72    
  1762  189.2111664   62.3380165   -1.0     -99        -99   
  1764  189.2294006   62.337986    0.2985   1          23    
  1775  189.3449097   62.3376999   -1.0     -99        -99   
  1779  189.1832581   62.3376999   -1.0     -99        -99   
  1813  189.4754639   62.3367386   -1.0     -99        -99   
  1814  189.4947968   62.3367424   -1.0     -99        -99   
  1818  189.2424316   62.3367157   1.569    1          72    
  1822  189.4238586   62.336586    -1.0     -99        -99   
  1824  189.4858093   62.3367424   -1.0     -999       -99   
  1836  189.3173828   62.336338    0.2544   1          21    
  1843  189.3048401   62.3361664   0.6348   1          21    
  1847  189.1878967   62.3360825   0.903    1          72    
  1850  189.2561798   62.3362236   -1.0     -99        -99   
  1855  189.2385254   62.336132    -1.0     -99        -99   
  1859  189.4038696   62.3359375   0.5856   1          21    
  1865  189.3817596   62.3356972   1.153    -1         81    
  1866  189.3969727   62.3355675   1.083    1          21    
  1870  189.166748    62.3355827   -1.0     -99        -99   
  1880  189.2526855   62.3353882   0.858    1          72    
  1886  189.2080078   62.3354988   -1.0     -99        -99   
  1894  189.2885437   62.3351517   1.011    1          21    
  1899  189.1849213   62.3348694   1.015    1          72    
  1907  189.3991394   62.3348007   0.5857   1          21    
  1908  189.4024658   62.3349113   0.5857   1          21    
  1918  189.3544006   62.3347206   0.2768   1          21    
  1919  189.4440613   62.3348694   -1.0     -99        -99   
  1921  189.1569672   62.334671    -1.0     -99        -99   
  1930  189.3247223   62.3345337   0.937    -1         81    
  1937  189.306778    62.3342743   0.2777   1          21    
  1938  189.3708801   62.3343964   0.2771   1          21    
  1944  189.2333221   62.3343048   -1.0     -99        -99   
  1945  189.3174133   62.3344574   -1.0     -99        -99   
  1951  189.2031097   62.3340569   1.012    1          21    
  1960  189.1506042   62.3339806   -1.0     -99        -99   
  1961  189.1776581   62.3339653   0.5574   2          23    
  1968  189.2276001   62.3338394   1.145    -1         81    
  1973  189.3895416   62.3336525   1.491    2          72    
  1990  189.1918182   62.3334312   -1.0     -99        -99   
  1999  189.165329    62.3334236   -1.0     -99        -99   
  2007  189.1705627   62.3330536   -1.0     -99        -99   
  2022  189.3835449   62.3328705   -1.0     -99        -99   
  2025  189.438736    62.3326759   1.2      1          21    
  2032  189.4475403   62.3327065   -1.0     -99        -99   
  2046  189.3154755   62.3324318   -1.0     -1         81    
  2052  189.1588593   62.3322296   -1.0     -99        -99   
  2054  189.2816162   62.332222    -1.0     -99        -99   
  2056  189.3371429   62.3322334   0.7781   -1         81    
  2059  189.4506836   62.3321228   -1.0     -99        -99   
  2061  189.1655121   62.3320007   0.9015   1          23    
  2089  189.4423065   62.3316345   0.71     1          72    
  2094  189.3053589   62.3315735   0.4379   1          21    
  2099  189.3667145   62.3308868   -1.0     -99        -99   
  2101  189.4536133   62.3314667   -1.0     -99        -99   
  2106  189.4078674   62.3313141   -1.0     -99        -99   
  2115  189.2043457   62.3311119   -1.0     -99        -99   
  2124  189.1492767   62.330822    -1.0     -99        -99   
  2129  189.1396179   62.3307838   -1.0     -99        -99   
  2135  189.271759    62.3307953   -1.0     -1         81    
  2137  189.3754883   62.3307533   -1.0     -99        -99   
  2140  189.430542    62.3306351   2.962    1          72    
  2141  189.4485931   62.3305168   0.284    1          72    
  2144  189.4754333   62.330471    0.3772   -1         81    
  2147  189.2371216   62.330555    0.4737   -1         81    
  2150  189.2099457   62.3305321   1.016    1          21    
  2152  189.3548279   62.330368    -1.0     -99        -99   
  2160  189.1883392   62.3301506   1.036    1          72    
  2163  189.2837982   62.3299141   0.3196   1          21    
  2175  189.2303619   62.3299332   3.239    1          34    
  2181  189.4922791   62.3297768   -1.0     -99        -99   
  2185  189.2207947   62.32967     -1.0     -99        -99   
  2189  189.3818817   62.3297424   0.2778   1          21    
  2192  189.2241364   62.3299026   -1.0     -99        -99   
  2195  189.3708496   62.3296432   -1.0     -99        -99   
  2196  189.3952026   62.329567    -1.0     -99        -99   
  2197  189.3973999   62.329525    1.147    1          72    
  2202  189.2106781   62.329464    1.016    1          21    
  2229  189.3600159   62.3290977   1.01     -1         81    
  2231  189.3781891   62.3288231   -1.0     -99        -99   
  2234  189.1991425   62.3287544   0.5072   1          21    
  2239  189.3322754   62.3286934   0.247    -1         72    
  2252  189.1933746   62.3280525   -1.0     -99        -99   
  2256  189.3564606   62.3281708   0.2775   1          21    
  2262  189.16716     62.3281593   -1.0     1          72    
  2266  189.3895721   62.328064    0.2712   1          21    
  2268  189.1443787   62.3278275   -1.0     -99        -99   
  2272  189.3024139   62.3279266   1.948    1          72    
  2290  189.1755524   62.3270988   0.981    1          72    
  2295  189.1900482   62.3275719   0.2767   1          21    
  2296  189.2118378   62.3276672   1.017    1          72    
  2297  189.3504181   62.3275185   0.8042   1          21    
  2314  189.3525543   62.3276405   -1.0     -99        -99   
  2318  189.5099335   62.3272057   -1.0     -99        -99   
  2320  189.1834564   62.327343    -1.0     -99        -99   
  2323  189.2227783   62.3272171   -1.0     -99        -99   
  2324  189.2352753   62.3271065   2.29     -1         45    
  2327  189.3916779   62.327034    0.2733   1          21    
  2328  189.4688721   62.3268738   -1.0     -1         81    
  2330  189.2498474   62.3270378   1.157    1          72    
  2331  189.2492523   62.3261528   1.146    -1         81    
  2336  189.1225128   62.3267822   1.013    1          23    
  2337  189.1522675   62.3268738   -1.0     -99        -99   
  2342  189.3452454   62.3267746   0.8392   1          21    
  2347  189.463562    62.3265533   -1.0     -99        -99   
  2357  189.2784424   62.3265114   2.103    1          72    
  2359  189.3738708   62.3262215   0.3186   1          21    
  2360  189.4466553   62.3262367   1.491    1          72    
  2365  189.3591156   62.3264847   -1.0     -99        -99   
  2369  189.319519    62.3261147   -1.0     -99        -99   
  2374  189.1152039   62.3259544   -1.0     -99        -99   
  2376  189.1547241   62.3259087   -1.0     -99        -99   
  2378  189.3607788   62.3257828   0.2775   1          25    
  2387  189.3780518   62.3252411   -1.0     -99        -99   
  2395  189.1308136   62.3256111   -1.0     -99        -99   
  2399  189.2770081   62.3256378   -1.0     -99        -99   
  2408  189.2328644   62.3254395   0.5287   1          21    
  2412  189.3352814   62.3252983   0.836    1          21    
  2417  189.2190247   62.3253174   -1.0     -99        -99   
  2418  189.2676239   62.3253479   1.052    1          21    
  2432  189.4783325   62.324894    -1.0     -99        -99   
  2433  189.1283417   62.3250465   -1.0     -99        -99   
  2440  189.4981079   62.3246193   -1.0     -99        -99   
  2449  189.1414337   62.3245087   0.5476   1          23    
  2455  189.2958221   62.3245544   1.145    1          21    
  2463  189.3398285   62.324295    0.2113   1          21    
  2488  189.1442413   62.3238831   0.875    1          72    
  2489  189.145401    62.3231239   -1.0     -99        -99   
  2500  189.2586975   62.3233299   -1.0     -99        -99   
  2509  189.1477966   62.323616    -1.0     -99        -99   
  2510  189.1793671   62.3235664   0.6823   1          21    
  2513  189.2673492   62.3234062   1.028    1          21    
  2518  189.3957825   62.3235626   0.6342   1          21    
  2524  189.1831207   62.3234787   1.423    1          72    
  2525  189.1893616   62.32341     1.142    2          72    
  2540  189.3334656   62.323101    2.295    1          34    
  2543  189.3873291   62.3231964   0.9365   1          21    
  2544  189.4588013   62.3231659   -1.0     -99        -99   
  2552  189.1573334   62.3231659   -1.0     -99        -99   
  2561  189.4711456   62.322834    -1.0     -99        -99   
