#   SAVEDid       xf100       xe100       xf160       xe160       xf250       xe250       xf350       xe350       xf500       xe500       xf850       xe850      xf1160      xe1160       xfRad       xeRad      xf2000      xe2000
#
562       1.702       1.172       2.345        1.01       2.338      0.7555       1.791       0.851       1.268      0.7983      0.4436       0.323      0.1914      0.1437    0.002297    0.002297     0.03469      0.0259
564       1.497       0.143       7.321       0.105       23.14       0.065       34.18        0.21       34.45       0.275       17.69        0.16        8.47      0.0795      0.0469     0.00051       1.623       0.015
581      0.4862      0.4013      0.8968      0.7652      0.9483      0.8077      0.7543      0.6617      0.4053      0.3641     0.09933     0.09087     0.03775     0.03464    0.002271    0.001989    0.006596    0.006064
593       2.482       0.387       5.929      0.4665       8.474       1.526       7.324       1.989       4.064       1.408       1.028      0.4227      0.3952      0.1671     0.01623    0.002075     0.06977     0.03004
597      0.3783      0.2697      0.6859      0.4032       1.128      0.7443       1.185      0.8597      0.8793      0.6868      0.2815      0.2317      0.1129     0.09425     0.00207    0.001303     0.01969     0.01652
598       2.068       0.392       4.911       0.523        5.84       0.986       4.492      0.9535       2.235       0.547      0.5132      0.1436      0.1935       0.057     0.01282     0.00145     0.03377     0.01039
604       1.636      0.8891       2.201      0.8725       1.488      0.8011      0.8144      0.5126      0.3492      0.2466     0.07304     0.05477      0.0277     0.02108    0.006667    0.003015    0.004909     0.00372
606      0.4153      0.2288      0.7444      0.4296      0.8226      0.5384      0.5635      0.3967      0.2702      0.1991     0.05936     0.04534     0.02253      0.0174    0.001834    0.001136    0.003966     0.00311
620       1.657      0.3545       3.348      0.5725       3.439       0.926       2.128       0.708      0.9602      0.3648      0.2041     0.08595     0.07741     0.03369     0.00796    0.001511      0.0136    0.006127
621       2.302      0.7805       5.277      0.6125       7.971      0.9035       7.862       1.752       5.757       1.944       1.879      0.8485      0.7634      0.3726     0.01355     0.00196      0.1339     0.06728
622      0.3624      0.2734      0.6624      0.5946      0.8956      0.8474      0.7973      0.7707      0.4484      0.4384      0.1148      0.1128     0.04425     0.04345    0.001665    0.001664    0.007844    0.007686
628      0.6507      0.2752        1.28      0.4036       1.527      0.4405       1.117       0.367       0.537      0.1924      0.1184      0.0457     0.04418     0.01746    0.003282    0.001056    0.007647    0.003083
631       1.448      0.4661       2.724      0.6215       2.672      0.5035       1.923       0.519      0.9187      0.2993      0.2023       0.076     0.07538     0.02943    0.006726    0.001622     0.01303    0.005251
637       2.206      0.6655       3.466       1.296       2.701       1.508       1.476      0.9406      0.5954      0.4096      0.1222     0.08896     0.04634     0.03427    0.008565    0.002165     0.00815    0.006039
638       7.329      0.9415       8.839       1.161       5.806      0.7685        2.83      0.3755        1.06      0.1406      0.1935     0.02565     0.06993    0.009265     0.02793    0.003745     0.01205    0.001615
652      0.8124      0.1704       1.777      0.4815       2.506      0.8315       2.227      0.8945       1.322      0.6087      0.3524        0.18      0.1354     0.07125    0.004574    0.001328     0.02366     0.01276
658      0.7979      0.1708       3.482       0.133        10.6       0.155       15.46        0.46       15.47        0.58        7.91       0.333       3.784       0.162     0.02093     0.00101      0.7249       0.031
659      0.8406      0.5074       2.625      0.7255       5.452      0.5815       6.793        1.17       6.326       1.365       3.208      0.9275       1.544       0.485    0.009381    0.001709      0.2991      0.1029
661      0.2924      0.2498      0.4977      0.4751      0.6679      0.6591      0.5748      0.5712      0.3164      0.3151     0.07978     0.07952     0.03046     0.03035    0.001303    0.001303    0.005335    0.005315
664      0.2897      0.1378      0.8541       0.159       1.412      0.0355        1.47       0.157       1.102      0.1779        0.36     0.07495      0.1454      0.0326    0.002607           0     0.02526       0.006
669       4.711       0.219       7.742      0.3425        6.59      0.3185       4.046       0.208        1.74      0.0915      0.3455      0.0181      0.1254      0.0065     0.01988    0.001195     0.02127    0.001075
672      0.9047      0.5623       1.382      0.7466       1.089      0.5374      0.6191      0.3105      0.2845      0.1591     0.06044     0.03665     0.02277     0.01415    0.003701    0.002192    0.003964    0.002563
689       1.219      0.8101       1.599      0.8602        1.09      0.5353       0.636      0.3661      0.2747      0.1736     0.05729     0.03881     0.02168     0.01499    0.004809    0.002966     0.00381    0.002675
692        8.72      0.3795       14.22       0.655       10.08       0.473       5.288        0.25       2.062      0.0975      0.4254     0.02015      0.1618     0.00765     0.03106    0.001485     0.02845     0.00136
697      0.4453      0.1653      0.9337     0.09935       1.319      0.1645       1.209      0.2757      0.8022      0.2389      0.2306     0.08045     0.08968     0.03252    0.002217   0.0004405     0.01566    0.005816
702      0.3612      0.1809      0.6984      0.2838       1.033      0.5109       1.015        0.58      0.7268      0.4713      0.2247      0.1587     0.08915     0.06435    0.001921   0.0009292     0.01548     0.01127
