#   SAVEDid      xmeAGN       xfAGN       xeAGN      xmeSFR       xfSFR       xeSFR       xfTOT       xeTOT       xf_zz       xe_zz
#
1313      0.1697      0.1894     0.09826       1.685       1.655      0.3855       1.801        0.33      0.4167        0.01
1315       23.58       14.73       12.34       17.91       26.16       13.38       36.13       7.872       1.711      0.1985
1320      0.7035       1.333       1.333       13.17       15.81       5.985        16.8       5.815       1.247        0.08
1334     0.08061       1.247       1.247       15.65       14.65       6.796       14.82       6.627        1.68       0.241
1335        2.21       2.376       1.592       8.804       9.103       2.861       11.49       2.459       1.178        0.02
1337       2.089       2.539       1.745       22.25       21.79       3.223        23.7       2.614       1.151           0
1338       1.691       3.367       3.367       31.95       30.95       5.183       32.49       3.645       1.358           0
1341       3.227       3.093       1.851       19.04       19.33       2.162       22.77       1.482       1.008           0
1342           0   0.0007373   0.0007373   3.686e-07   0.0009364   0.0009364   0.0009365   0.0009364       0.041        0.04
1348      0.1143      0.1135      0.1135      0.4586      0.5208      0.5208      0.6257      0.4607      0.5233        0.04
1350           0       2.371       2.371       20.78       17.31       6.066       17.55       5.827       1.256        0.09
1355       2.441       4.291       4.291        9.99       9.079       9.055       11.45        6.68       1.272        0.11
1357       2.272        2.85        2.85       9.859       8.805       5.021       11.08       4.394       1.365           0
1367           0      0.6347      0.6347       18.24       15.83       2.417       15.95        2.29       1.787           0
1368       31.66       64.03       64.03       211.5       213.6       44.42       255.8       63.66       2.763       0.096
1369       25.74        54.9        54.9       58.46       64.46       26.49       108.4       56.32        2.18        0.21
1371       2.649       2.226      0.8167     0.01563       1.376       1.376       3.276       1.285       1.037           0
1384       3.528       9.257       9.257       61.03       50.81       18.41       53.53       17.22       1.383      0.1465
1387           0       99.43       99.43       48.17       232.4         212       259.9       239.4       2.601         1.4
1391      0.2492      0.5131      0.5131       3.501       3.529        1.83       3.933       1.543       1.038           0
1393       1.849       1.816       1.816       16.52        19.1       5.935       20.13       4.901        1.32        0.08
1394      0.4196      0.4009      0.1522       2.414        2.43      0.1703       2.804     0.05412      0.2995           0
