# _id    _ra           _de          zp_X   f24        df24    radio      eradio   _fch1    _dfch1   _fch2    _dfch2   _fch3    _dfch3   _fch4    _dfch4   spezX   KtotX   MassX   zq    source   distz     idz     goodArea  
# 
  4206   189.5321503   62.2974396   4.82   6.945      6.823   3.333      2.924    4.515    0.069    3.018    0.113    3.123    0.867    3.299    0.795    -1.0    23.27   10.6    -99   -99      6.24      -99     1         
  4319   189.3811646   62.2959785   3.07   4.493      7.243   -0.3243    2.653    5.007    0.037    2.285    0.068    1.384    0.397    1.464    0.462    -1.0    25.83   11.01   -99   -99      6.921     -99     1         
  4462   189.4497986   62.2940369   4.83   3.275      7.496   4.911      3.807    0.671    0.037    0.616    0.068    -0.608   0.425    1.014    0.487    -1.0    24.77   10.76   -99   -99      3.522     -99     1         
  4501   189.4132233   62.2933846   4.41   7.444      7.572   2.41       2.711    3.44     0.037    3.381    0.068    3.502    0.411    4.351    0.478    -1.0    24.01   11.04   -99   -99      4.631     -99     1         
  4561   189.3172302   62.2930756   2.86   -0.553     7.233   0.1536     2.571    5.137    0.037    6.265    0.065    12.3     0.401    22.71    0.448    -1.0    23.11   10.52   -99   -99      4.151     -99     1         
  4652   189.5017242   62.2916107   3.27   11.01      5.817   2.783      3.021    1.657    0.041    1.628    0.074    2.695    0.49     1.141    0.526    -1.0    24.07   10.51   -99   -99      7.273     -99     1         
  4715   189.1207428   62.2911148   4.31   8.545      7.117   -0.3268    2.466    1.433    0.029    1.363    0.05     1.874    0.325    2.319    0.369    -1.0    -99.0   10.58   -99   -99      6.314     -99     1         
  4757   189.3218994   62.2901802   5.72   -0.553     4.968   3.773      2.628    4.369    0.036    2.644    0.064    0.979    0.393    1.61     0.448    5.97    24.52   10.73   -1    87       0.7475    28120   1         
  4995   189.3477783   62.2874985   3.39   46.75      4.837   26.2       5.3      4.598    0.039    6.426    0.065    8.266    0.39     11.64    0.457    -1.0    23.3    11.05   -99   -99      1.052     -99     1         
  5026   189.16362     62.2869263   3.06   13.22      7.369   6.826      2.506    2.541    0.028    2.753    0.047    3.06     0.307    3.267    0.351    2.936   23.25   10.26   1     34       0.09695   13734   1         
  5032   189.3357544   62.2869225   3.92   0.943      5.778   4.815      2.605    0.527    0.035    0.662    0.064    0.159    0.387    1.017    0.453    -1.0    25.04   10.64   -99   -99      6.441     -99     1         
  5120   189.5212708   62.285614    3.03   7.226      8.948   -0.4433    3.325    3.011    0.044    3.279    0.077    2.459    0.519    6.737    0.549    -1.0    23.54   10.22   -99   -99      4.866     -99     1         
  5127   189.2100372   62.285862    3.15   -0.553     4.786   -0.2787    2.527    4.349    0.032    2.406    0.05     1.141    0.329    0.664    0.374    -1.0    -99.0   10.97   -99   -99      4.639     -99     1         
  5158   189.2308197   62.2853661   3.41   3.24       5.116   1.461      2.508    1.143    0.032    1.547    0.054    1.273    0.356    1.996    0.402    3.446   23.39   10.22   2     72       0.1058    19967   1         
  5171   189.1782379   62.2851524   2.53   12.97      6.059   7.489      2.558    11.31    0.032    12.62    0.049    14.03    0.309    11.36    0.352    -1.0    21.9    11.16   -99   -99      6.179     -99     1         
  5204   189.1086426   62.2848206   3.02   2.812      8.506   0.001064   3.024    1.729    0.029    1.687    0.049    0.664    0.324    1.069    0.37     -1.0    23.28   10.21   -99   -99      5.557     -99     1         
  5220   189.4044037   62.2846031   2.88   12.97      6.059   2.318      2.71     4.452    0.038    4.02     0.069    3.218    0.42     3.115    0.483    2.79    22.85   10.52   1     34       0.2116    34469   1         
  5234   189.3943634   62.2844429   2.98   6.099      6.26    6.486      2.677    0.461    0.037    0.93     0.068    2.366    0.414    1.346    0.478    -1.0    23.72   10.88   -99   -99      9.193     -99     1         
  5258   189.2832184   62.2843361   3.37   25.93      5.193   5.082      2.493    3.151    0.036    3.114    0.064    3.249    0.397    12.51    0.457    -1.0    24.81   10.2    -99   -99      4.648     -99     1         
  5281   189.1418304   62.2838478   2.94   -0.553     8.814   -0.09216   2.584    1.937    0.028    2.087    0.047    2.074    0.306    1.688    0.349    -1.0    23.71   10.23   -99   -99      4.22      -99     1         
  5318   189.4257355   62.282135    3.11   1.401      6.24    3.899      2.752    1.536    0.037    3.063    0.067    4.341    0.411    3.224    0.469    -1.0    26.97   10.08   -99   -99      8.501     -99     1         
  5334   189.454361    62.2830734   3.04   2.12       5.582   4.128      2.771    1.943    0.038    2.124    0.068    2.396    0.426    2.615    0.486    2.917   23.42   10.29   1     72       0.0       37221   1         
  5380   189.3527069   62.2829208   2.54   1.474      6.47    2.003      2.622    0.527    0.035    0.601    0.064    0.045    0.397    0.637    0.451    -1.0    24.73   10.02   -99   -99      11.04     -99     1         
  5385   189.0908813   62.282547    2.91   11.44      7.978   1.146      2.654    3.481    0.033    3.658    0.053    3.565    0.358    3.343    0.401    -1.0    22.93   10.5    -99   -99      7.879     -99     1         
  5433   189.4450684   62.2819176   4.22   1.953      5.741   -0.3318    2.759    1.62     0.038    1.803    0.068    1.897    0.426    3.176    0.485    -1.0    23.87   10.47   -99   -99      11.38     -99     1         
  5523   189.1881561   62.2811699   3.27   17.6       5.089   2.488      2.742    3.458    0.029    3.93     0.048    5.138    0.307    4.665    0.351    3.229   23.2    10.32   1     34       0.4408    15958   1         
  5529   189.4820862   62.2809563   2.99   17.43      5.698   4.354      2.846    3.008    0.039    3.392    0.069    4.254    0.432    3.858    0.489    -1.0    23.46   10.53   -99   -99      5.106     -99     1         
  5564   189.1408691   62.2806358   3.38   1.84       7.679   0.3806     2.599    1.564    0.028    1.81     0.047    2.25     0.306    2.812    0.348    -1.0    23.45   10.32   -99   -99      9.194     -99     1         
  5575   189.4972076   62.280098    3.22   7.744      7.683   6.061      2.911    2.773    0.04     2.499    0.072    1.591    0.439    1.976    0.495    -1.0    23.02   10.31   -99   -99      6.067     -99     1         
  5653   189.5382843   62.2793274   3.04   13.73      16.81   3.922      3.011    5.392    0.047    5.262    0.082    5.825    0.562    4.788    0.581    -1.0    22.12   10.64   -99   -99      7.498     -99     1         
  5752   189.463089    62.2784538   2.8    -0.553     6.957   0.701      2.746    6.57     0.039    7.854    0.069    9.063    0.424    9.917    0.489    -1.0    22.58   11.24   -99   -99      11.52     -99     1         
  5789   189.451004    62.277916    2.59   34.68      6.012   0.9237     2.756    3.199    0.039    3.857    0.068    4.322    0.425    4.257    0.487    -1.0    23.47   10.97   -99   -99      5.611     -99     1         
  5792   189.4821472   62.2778053   3.05   9.989      5.807   1.208      2.813    3.255    0.039    3.145    0.068    3.559    0.428    3.117    0.491    -1.0    23.45   10.21   -99   -99      7.063     -99     1         
  5806   189.4187012   62.2778168   2.75   1.862      5.975   3.27       2.615    4.008    0.039    2.691    0.069    12.08    0.425    2.246    0.485    -1.0    24.48   10.3    -99   -99      7.901     -99     1         
  5830   189.3929138   62.2773552   2.58   22.72      7.068   0.1225     2.699    5.244    0.037    4.364    0.068    5.502    0.414    5.317    0.48     -1.0    23.24   10.06   -99   -99      7.18      -99     1         
  5847   189.4651947   62.2772865   3.08   19.91      5.555   0.1248     2.74     6.481    0.039    6.991    0.069    7.572    0.426    7.356    0.488    -1.0    22.56   10.85   -99   -99      7.192     -99     1         
  5854   189.322876    62.2773972   4.41   6.477      5.02    0.7245     2.534    1.926    0.035    1.3      0.062    2.146    0.371    1.311    0.438    -1.0    24.55   10.58   -99   -99      3.375     -99     1         
  5857   189.3742523   62.2773323   3.03   2.631      7.071   0.3913     2.619    0.643    0.036    0.81     0.068    0.697    0.409    0.966    0.475    -1.0    24.61   10.19   -99   -99      6.446     -99     1         
  5861   189.0946045   62.2772446   3.35   4.007      7.126   0.9989     2.651    0.483    0.031    0.796    0.051    0.045    0.342    -0.22    0.384    -1.0    -99.0   10.8    -99   -99      6.925     -99     1         
  5869   189.2202148   62.2769814   3.29   25.69      7.584   5.994      2.48     3.188    0.03     3.861    0.05     4.487    0.323    6.038    0.368    1.362   23.95   10.98   1     72       0.84      18915   1         
  5913   189.0969849   62.2748146   2.54   -0.553     11.66   2.428      2.644    4.261    0.032    4.124    0.051    7.627    0.34     6.003    0.379    -1.0    23.48   10.03   -99   -99      4.479     -99     1         
  5915   189.0975952   62.275528    2.85   7.668      7.05    1.197      2.629    2.949    0.032    2.098    0.048    3.408    0.326    4.276    0.367    -1.0    -99.0   10.03   -99   -99      5.834     -99     1         
  5918   189.1794434   62.2766991   3.22   7.298      5.151   1.571      2.671    1.349    0.027    1.448    0.047    1.009    0.303    1.412    0.348    3.363   23.24   10.18   1     34       0.1397    15194   1         
  5947   189.271347    62.2763176   2.81   24.74      10.81   4.461      2.468    2.561    0.036    3.251    0.062    3.982    0.385    5.667    0.445    -1.0    23.77   10.71   -99   -99      7.095     -99     1         
  5977   189.3671265   62.2758408   2.72   29.57      6.84    8.02       2.622    4.123    0.037    4.158    0.066    4.413    0.407    4.126    0.468    -1.0    22.98   10.43   -99   -99      6.469     -99     1         
  5998   189.2859039   62.2757797   2.84   11.89      9.781   1.009      2.508    2.356    0.037    2.507    0.063    3.381    0.385    2.85     0.455    -1.0    23.58   10.22   -99   -99      3.865     -99     1         
  6040   189.3800201   62.2753067   4.42   -0.553     7.459   1.442      2.659    0.432    0.036    0.43     0.067    0.56     0.417    1.507    0.478    -1.0    24.69   10.61   -99   -99      10.89     -99     1         
