# SAVEDid  xf100      xe100       xf160       xe160       xf250       xe250       xf350       xe350       xf500       xe500       xf850       xe850      xf1160      xe1160
#
768      0.1149     0.02221      0.5133       0.156       1.123      0.3504       1.302      0.5503       1.064      0.5529      0.3848      0.2373      0.1622      0.1051
776      0.6515      0.3248      0.9138      0.2642      0.7989      0.3622      0.4587      0.2547      0.1961      0.1226     0.04075     0.02749     0.01542     0.01062
779       1.476       0.186       4.224       0.531       6.643       0.835       6.153      0.7735        3.54       0.445      0.9293      0.1168      0.3635      0.0457
786       0.134       0.134      0.6455      0.6455       1.208       1.208        1.27        1.27       0.943       0.943      0.3079      0.3079      0.1298      0.1298
793     0.09313     0.06847      0.4729       0.367      0.9247      0.6914      0.9982      0.7388      0.7578      0.5562      0.2529      0.1856      0.1031     0.07572
804      0.5647      0.4186       1.016      0.6658      0.9349      0.5222      0.6152       0.312      0.2838      0.1356     0.06263     0.02971     0.02387      0.0116
805      0.5922      0.3865       1.524      0.9209       2.232       1.241       1.922        1.11       1.059      0.6501       0.262      0.1758     0.09951     0.06809
807      0.9733      0.2387        4.94      0.7595       9.445       0.885       9.882       1.069        7.52       1.124       2.554       0.539       1.051      0.2471
808       3.261       0.389       3.762      0.8565       2.469      0.9115        1.23      0.5363      0.4599      0.2217     0.08876     0.04624     0.03299     0.01758
809      0.2742      0.2742      0.4378      0.4378      0.3584      0.3584       0.198       0.198      0.0798      0.0798     0.01636     0.01636     0.00619     0.00619
825      0.6947      0.4803       1.177      0.6604       1.022       0.455       0.611      0.2375      0.2779      0.1187     0.05976      0.0291      0.0225     0.01141
826       1.051      0.4143           2       0.677       1.955       0.834       1.192      0.5786      0.5316      0.2814      0.1129     0.06338     0.04292      0.0245
827       6.938      0.0095       17.68       0.025        22.7       0.035       18.34       0.025       9.466       0.013       2.234       0.003      0.8447     0.00115
837        0.22      0.1065      0.8668      0.5583       2.575       1.448        4.94       1.369       6.547       2.527       6.829           5       5.311       4.475
841      0.1996     0.09755      0.4127      0.1323        1.73      0.7055       4.008       0.809       7.204       1.006       8.097       3.463       6.052       3.506
849      0.5398      0.3517       1.309      0.7509       1.694      0.7495       1.341      0.5661       0.677      0.3261      0.1555      0.0824     0.05828     0.03166
860      0.2871      0.1015       1.408       0.427       3.508      0.7485       4.904      0.9265       4.542       1.143       1.938       0.705      0.8734      0.3557
866      0.3034      0.3034      0.6505      0.6505       0.887       0.887       0.831       0.831      0.4831      0.4831       0.128       0.128      0.0502      0.0502
867        0.35      0.1425      0.8795      0.2976       1.161      0.3471      0.9096      0.3094      0.4865      0.1928      0.1191     0.05511      0.0458     0.02207
870       8.079       0.393       10.95       0.535       7.863       0.383       4.085       0.199       1.606       0.078      0.2984      0.0145      0.1078     0.00525
872      0.6196      0.1017       2.111      0.3275        3.89       0.433       3.942       0.608       2.751       0.562      0.8185      0.2066      0.3215     0.08695
877       1.181      0.4733       2.783      0.8115       3.468      0.6835       2.627       0.559       1.301      0.3378       0.294      0.0882      0.1101     0.03498
878       1.257      0.3674      0.9973      0.2917      0.4387      0.1283      0.1797     0.05255     0.05858     0.01713     0.01035    0.003028    0.003765    0.001101
881        0.34      0.2557      0.9624      0.6416       1.419      0.8187       1.371      0.7892       0.943      0.5481      0.2773      0.1636       0.108       0.064
884      0.1759     0.05215      0.9886      0.3984        2.88        0.72       4.123       0.748       4.118        0.49       2.015        0.36      0.9618      0.2042
885       2.225      0.3655       3.982      0.6495       3.501       1.006       2.071      0.7305      0.8972      0.3589      0.1806      0.0795     0.06692     0.03037
886      0.7277      0.2963       1.148      0.4717      0.8947      0.3984      0.4833      0.2236      0.1913     0.09105     0.03875     0.01889     0.01463    0.007184
892      0.2728      0.2539      0.7149      0.6611      0.9809      0.8971      0.9062      0.8338      0.5202      0.4808      0.1361      0.1267     0.05315     0.04965
893       2.754       0.293       5.348       0.569       5.137      0.5465       3.166       0.337       1.405      0.1495      0.2875      0.0306      0.1068     0.01138
899      0.4216      0.4216      0.4891      0.4891       0.403       0.403       0.225       0.225     0.09115     0.09115     0.01894     0.01894     0.00721     0.00721
902       1.635      0.3415       3.353       0.552       3.332      0.6015       2.198       0.491       1.028      0.2641      0.2206      0.0635     0.08325     0.02486
915      0.8937      0.0802       3.942      0.4375       8.309      0.6805       9.573       1.077       7.697        1.08       2.664      0.4475       1.098      0.1959
917       1.857      0.2345       5.306       0.635        8.35      0.8745       7.816       0.826       4.511      0.5195       1.181       0.154      0.4595      0.0638
922      0.2629      0.2629        0.62        0.62       0.857       0.857        0.75        0.75      0.4187      0.4187       0.106       0.106     0.04048     0.04048
923        2.29       0.321       7.204      0.5005       10.64      0.7575       9.167       0.913       5.556       0.791       1.471      0.2595      0.5559      0.1026
924      0.3471      0.3471      0.4939      0.4939      0.4002      0.4002       0.222       0.222      0.0894      0.0894     0.01854     0.01854     0.00705     0.00705
926      0.4197      0.4045      0.8293      0.7867      0.9017      0.8383      0.7595      0.7035      0.4065       0.377      0.1045     0.09741     0.04087     0.03816
