#        cooFIR         snrFIR             id         snr100         snr160         snr250         snr350         snr500         snr1160
#
              0        1.11044            825       0.614039       0.925219            -99            -99            -99            -99
              0        3.22635            826        1.66032        2.76635            -99            -99            -99            -99
              1        19.7757            827         12.761        12.1804        3.69988        6.23934        5.18963       0.568176
              0        2.13108            837        1.06448          1.154        1.11798    4.73899e-08         0.4002       0.816479
              0        3.01702            841        0.44782       0.592652    1.35344e-07    5.60594e-08    3.27879e-08        2.92415
              0        1.10139            849        1.10139    1.68991e-05            -99            -99            -99            -99
              0        1.41319            860      0.0523868        1.41222              0            -99            -99            -99
              0        1.13951            866    3.58486e-05        1.13951            -99            -99            -99            -99
              0        2.58084            867       0.215791         2.5718            -99            -99            -99            -99
              1        20.6962            870        16.4812        12.2986        2.25943       0.586161            -99            -99
              0        2.88698            872        2.88698    1.52915e-05            -99            -99            -99            -99
              0        1.40872            877       0.373887    9.13965e-06        1.35819            -99            -99            -99
              0        4.69584            878        4.32226        1.83548            -99            -99            -99            -99
              0        2.22892            881        2.10481       0.733387            -99            -99            -99            -99
              1        7.72174            884       0.123999        6.77259        2.98878        1.99861       0.902593    1.83305e-10
              1        8.45622            885        8.14637        1.31299        1.84942            -99            -99            -99
              0         2.5439            886        1.88653        1.70659            -99            -99            -99            -99
              0        1.57378            892      0.0591837        1.57266            -99            -99            -99            -99
              1        12.1679            893        7.95095        7.66618        4.63444        2.14296            -99            -99
              0       0.482248            899       0.482248    1.67008e-05            -99            -99            -99            -99
              1        9.96599            902        6.25202         6.4324        4.08559        1.47151            -99            -99
              1        10.3504            915        1.90476        8.56235        5.00247        1.45218       0.367331        1.70894
              1        8.92184            917        4.59483        5.11521        3.75195        3.83328         1.8842    2.44266e-10
              0        2.05497            922       0.839388        1.87572            -99            -99            -99            -99
              1        9.95854            923        5.72829        6.65114        3.79512        2.42573        1.13976       0.731599
              0       0.624537            924    4.87379e-05       0.624537            -99            -99            -99            -99
              0        2.67471            926          2.234    1.18417e-05        1.47082            -99            -99            -99
              0        1.05823            928       0.382986       0.986491            -99            -99            -99            -99
              1        5.34138            931        3.11983        4.33555    6.72323e-08            -99            -99            -99
              0        3.51841            934        1.95467        2.92549            -99            -99            -99            -99
              0        4.32841            937        4.32824      0.0381943            -99            -99            -99            -99
              1        17.2993            939        15.3623        7.65898        1.38899        1.63631            -99            -99
              0        3.06258            950        2.99792       0.626012            -99            -99            -99            -99
              1        5.76701            951        2.54451        4.77349        1.99942            -99            -99            -99
              0         1.1121            960    2.48433e-05         1.1121            -99            -99            -99            -99
              0        3.63475            965    5.61521e-05        3.45187        1.13841            -99            -99            -99
              0       0.932384            966       0.932384    2.22222e-05            -99            -99            -99            -99
              0       0.475929            972       0.475929    1.85218e-05            -99            -99            -99            -99
              0        2.27882            974            -99            -99            -99        1.23212       0.973479        1.65143
              0       0.952161            994       0.884713       0.351984            -99            -99            -99            -99
