#                      id              ra               de
#
                      673      53.0934811     -27.6650216
                      674      53.1005591     -27.6653498
                      675      53.1094438     -27.6649274
                      676      53.1832169     -27.6649182
                      677      53.1845997     -27.6649844
                      678      53.1923559     -27.6648151
                      679      53.0640207     -27.6651215
                      680      53.0755519     -27.6651397
                      681      53.0990485     -27.6651662
                      682      53.1032334     -27.6648490
                      683      53.1433029     -27.6651877
                      684      53.1528371     -27.6652101
                      685      53.1062818     -27.6651247
                      686      53.1263393     -27.6654877
                      687      53.1467888     -27.6651043
                      688      53.1507042     -27.6655097
                      689      53.0454008     -27.6653093
                      690      53.0494192     -27.6652359
                      691      53.0623761     -27.6654878
                      692      53.0675348     -27.6656261
                      693      53.0774373     -27.6655190
                      694      53.0815473     -27.6653884
                      695      53.1107354     -27.6654187
                      696      53.1955274     -27.6652178
                      697      53.0611912     -27.6655838
                      698      53.0912216     -27.6656832
                      699      53.1166767     -27.6654559
                      700      53.1229242     -27.6656393
                      701      53.0365330     -27.6656525
                      702      53.0546009     -27.6657877
                      703      53.0744255     -27.6657274
                      704      53.1136035     -27.6659082
                      705      53.1188802     -27.6657761
                      706      53.1389771     -27.6655838
                      707      53.1447544     -27.6659904
                      708      53.1585061     -27.6658699
                      709      53.1656269     -27.6657842
                      710      53.1709741     -27.6655087
                      711      53.1839079     -27.6657684
                      712      53.1887669     -27.6657809
                      713      53.1930196     -27.6655627
                      714      53.0537799     -27.6658075
                      715      53.0701071     -27.6659454
                      716      53.0847958     -27.6662054
                      717      53.0895201     -27.6658621
                      718      53.1036535     -27.6661450
                      719      53.1094933     -27.6658832
                      720      53.1689608     -27.6660522
                      721      53.1738729     -27.6659079
                      722      53.1760349     -27.6659979
                      723      53.1781133     -27.6659155
                      724      53.0428568     -27.6660166
                      725      53.0512939     -27.6659521
                      726      53.0550352     -27.6658623
                      727      53.0603030     -27.6662645
                      728      53.0872592     -27.6660301
                      729      53.1718733     -27.6659571
                      730      53.1769512     -27.6658974
                      731      53.1945086     -27.6660643
                      732      53.0206576     -27.6661969
                      733      53.0321549     -27.6662961
                      734      53.0788611     -27.6661898
                      735      53.1198997     -27.6661385
                      736      53.1620116     -27.6663738
                      737      53.1706125     -27.6661400
                      738      53.0444717     -27.6663047
                      739      53.0811768     -27.6664597
                      740      53.0987188     -27.6662960
                      741      53.1007179     -27.6664301
                      742      53.1311325     -27.6665678
                      743      53.1342637     -27.6665970
                      744      53.1729361     -27.6663940
                      745      53.1908132     -27.6663330
                      746      53.1988431     -27.6667519
                      747      53.1996682     -27.6665781
                      748      53.0495482     -27.6668571
                      749      53.1080220     -27.6666712
                      750      53.1222176     -27.6666476
                      751      53.1282505     -27.6664373
                      752      53.1560381     -27.6667336
                      753      53.0472774     -27.6668072
                      754      53.0712266     -27.6665930
                      755      53.1897336     -27.6667709
                      756      53.0377359     -27.6669581
                      757      53.0377373     -27.6676577
                      758      53.0521932     -27.6668977
                      759      53.0582391     -27.6669594
                      760      53.0580550     -27.6679965
                      761      53.1024194     -27.6670207
                      762      53.1103116     -27.6669930
                      763      53.1164474     -27.6669011
                      764      53.1234111     -27.6670330
                      765      53.1405303     -27.6668058
                      766      53.1520368     -27.6668127
                      767      53.1528206     -27.6671517
                      768      53.1676901     -27.6671756
                      769      53.0341104     -27.6668221
                      770      53.0454720     -27.6669135
                      771      53.0549419     -27.6670492
                      772      53.0884410     -27.6671404
                      773      53.1135651     -27.6669265
                      774      53.1142287     -27.6668867
                      775      53.1154973     -27.6671415
                      776      53.1258345     -27.6671532
