#       id        snr16         snr24
#
      3638       9.7494       20.369
      3648       3.8258       8.5813
      3651     0.091186       6.5904
      3652      0.15128       5.5196
      3654       1.9382       5.7117
      3658           -0       59.199
      3661       1.6293     -0.28575
      3668           -0       70.209
      3676       0.5989       1.5299
      3677       1.3576       5.4414
      3679        14.46       31.074
      3680       1.9002       5.4781
      3686           -0       6.1944
      3696       1.4377       7.8407
      3699           -0       6.6814
      3703       2.2765       17.126
      3704       4.4278       25.655
      3709      0.18964       6.2813
      3712       11.346       20.469
      3718           -0       65.415
      3721     0.098928       6.0731
      3739       1.1799       5.8453
      3742       27.351       38.747
      3758       1.1916       74.518
      3760       2.9963       9.0658
      3763           -0        11.74
      3769       0.2603       7.5863
      3775       7.7338       16.989
      3780      0.12157      0.36694
      3781     0.080035       6.5881
      3792       5.6521       18.164
      3793       15.842       54.132
      3806      0.76859       5.5062
      3807       1.3568        10.34
      3811      0.17729       3.4545
      3812       3.9142       11.993
      3813       33.605       54.008
      3817        4.708       25.442
      3821           -0       33.536
      3823      0.11644        5.858
      3827           -0       14.124
      3836      0.76885       12.709
      3849       4.0641       9.2058
      3870       74.081       118.59
      3880       3.5684       6.8256
      3882     0.079552       5.4531
      3883           -0       52.268
      3887       4.9874       29.307
      3888       11.501       23.927
      3894      0.14188       5.0671
      3901      0.82101       14.774
      3902      0.11041       3.7616
      3913       4.1709       17.707
      3914       44.827       60.008
      3917       3.6543       5.6783
      3920       2.1629       5.3921
      3928       1.9224        12.37
      3935       8.3033       16.292
      3940       2.8574       4.8748
      3941       1.4851       5.7706
      3952      0.94733       5.1518
      3954       2.4978       10.646
      3955       4.0351       25.456
      3966      0.12514       5.0734
      3969       1.3812       8.5041
      3978       3.9032       16.507
      3981       8.8987       33.225
      3991       5.8108       33.354
      3996       2.4018       3.9563
      4004       3.3056       9.5706
      4012      0.95525       4.5028
      4022       15.697       32.785
      4032       3.8315       10.786
      4043       1.5573       11.414
      4046       1.1115       4.9119
      4048       21.418       52.675
      4050       14.261       15.514
      4056       1.1343       4.7803
      4057       4.9749       7.0683
      4068       4.3323       7.3926
      4077      0.07318       2.0753
      4079       2.8114       21.147
      4083       1.3053       13.883
      4108       25.968       61.803
      4110       1.2477       6.0129
      4111      0.14884       7.3457
      4116       3.0307       23.112
      4145       28.614       52.862
      4149       2.5864       19.105
      4189     0.055961       12.445
      4203       20.705        29.57
      4211       17.348       48.577
      4214       4.4078       52.195
      4215       2.8242       17.594
      4222      0.82632       16.541
      4226       12.201       24.075
      4235       17.859       55.046
      4239       2.3591       6.3773
      4247       2.4672       8.2948
      4254       7.5354       4.8548
      4255       7.4985       14.092
      4260       3.8867       6.4408
      4266       6.0783        46.07
      4267        24.12       36.474
      4268       17.477       23.631
      4270       4.2954       50.052
      4290      0.46258       4.5669
      4297       4.4391       12.921
      4308           -0       23.479
      4309           -0       6.8493
      4312       8.2292       38.743
      4314       20.443       59.246
      4320       6.0324       38.088
      4321        9.952       12.777
      4322      0.81052       5.9982
      4325           -0       3.8819
      4344           -0       11.232
      4362       5.5296       18.697
      4363       1.7297       19.001
      4367       1.9049       6.4694
      4371       2.3724       12.479
      4379        2.306       13.583
      4389      0.34975       6.1615
      4404      0.10295       3.7492
      4419           -0       6.1052
      4432      0.99224       12.449
      4442       0.2017       18.637
      4449       5.5337       55.697
      4451           -0       5.7288
      4456        4.321       57.453
      4469       5.7826       15.022
      4474       1.6065       5.2822
      4480       2.0387       14.035
      4486       37.182       116.81
      4499        5.408       7.7415
      4500       2.2501       11.306
      4503       2.9754       10.325
      4504      0.89069       13.937
      4520           -0       6.5354
      4528       11.931       15.315
      4531       1.4431       17.008
      4537       2.3177       5.6978
      4542       0.4308       6.4374
      4546      0.72821       7.3476
      4550           -0       5.8358
      4558       2.1014       7.8224
      4563       7.6989       11.938
      4564        5.806       12.764
      4575      0.16699       6.3753
      4580       22.076        55.65
      4589       7.1496        12.72
      4592       62.841       307.45
      4598        1.146       4.7146
      4601       3.1786       12.844
      4603       2.5005     -0.33853
      4612       1.9743       19.187
      4625       23.515       104.74
      4627       4.3005       10.339
      4633       12.266       19.862
      4654           -0       4.9382
      4656       26.097       54.922
      4663       36.523       93.605
      4676       2.7958       6.8245
      4681      0.65369       3.2684
      4694      0.61808        11.01
      4701     0.063994       4.6903
      4703       0.3559       6.0282
      4707       8.2096       10.018
      4722       10.806       16.235
      4738       2.7122       19.746
      4744       0.2147       5.1749
      4751      0.57213       8.7756
      4759      0.13873       4.0336
      4760      0.19811       11.244
      4762           -0        22.03
      4774       5.8198       43.869
      4777        19.32       31.129
      4779      0.21202       44.984
      4787       2.0715       24.002
      4789      0.18817       20.089
      4793       1.7676       6.8698
      4799       61.655       118.37
      4804       2.5276        15.92
      4806           -0       9.6046
      4815       3.0962       6.2469
      4826       4.1843       37.748
      4828       3.1492       4.8742
      4832           -0       24.874
      4839      0.63149       6.8384
      4846       9.8189       20.791
      4847       3.7741       7.9272
      4849      0.16388       6.3688
      4858       4.9131       10.216
      4860       7.1962       13.018
      4865       19.049       67.404
      4868       1.6689       13.241
      4874      0.91266        24.69
      4887       2.1222       4.7613
      4888       12.686       16.831
      4891       11.361       5.9551
      4901      0.14365       6.9325
      4905       15.805       27.972
      4912       5.5869       8.8986
      4916       1.2252       6.6485
      4917       13.209       38.809
      4919       3.5564       19.766
      4924       2.6579       13.243
      4937        10.07       21.628
      4945       1.3427       19.348
      4954       2.6198       49.663
      4955       30.135       66.611
      4974       28.123       44.437
      4986       2.5325       17.899
      4990      0.79495       13.063
      4991       2.9422       6.7539
      4993      0.18695       7.6511
      4995      0.13785       15.547
      4996       11.635       32.917
      4997       1.3103       16.775
      4999        2.286       10.339
      5000      0.18463        4.435
      5007       21.342       59.266
      5010       2.3857       7.6571
      5012       9.9706       9.2102
      5016       1.3017       8.7971
      5023       63.721       336.08
      5026       1.0661       3.2718
      5028       56.729       139.54
      5029        4.089       8.3532
      5033       2.0551        6.926
      5034      0.11422       6.7291
      5042        1.541       11.073
      5050       8.7351       8.9931
      5055       23.248       60.066
      5057      0.10511       5.8946
      5064           -0       11.031
      5067       9.4667       30.963
      5070       2.0738       2.6737
      5080       6.4667       8.8718
      5089      0.90192        24.15
      5090        3.393       11.889
      5095      0.13769       8.0146
      5097       12.556       61.468
      5101       10.571       24.377
      5114        2.482       9.6175
      5122       2.3696       21.154
      5125       9.8985       8.3998
      5129       3.1687       10.011
      5133       30.017       26.134
      5138       14.133       29.783
      5146      0.13856       5.9972
      5147       10.344       33.676
      5148       4.6916       45.998
      5155        3.603        10.96
      5156       0.1679       2.9646
      5162       2.0969       3.5591
      5168        16.85       39.745
      5170       9.9899       27.623
      5171      0.14491       4.4373
      5177       8.8541       36.636
      5185       3.8566       4.6026
      5187       18.553       68.144
      5205       16.425       65.987
      5206       3.3477       7.4444
      5211       6.3834        61.57
      5215           -0       16.798
      5218       2.2164       8.5875
      5225       1.2286       17.608
      5238       8.0959       43.178
      5242       1.9985        17.13
      5245       4.7669       23.418
      5255       5.5233       15.738
      5256      0.77937       22.277
      5258      0.59618       8.8241
      5265           -0       19.448
      5270       62.058       292.88
      5273       8.0055       11.458
      5293       12.128       15.668
      5296       8.9735       27.847
      5309        3.591       10.074
      5321       21.724       72.161
      5325       60.903       124.95
      5329       2.0083       8.1365
      5337           -0       23.254
      5342       2.7517       10.697
