#        cooFIR         snrFIR             id         snr100          snr160
#
              0        3.39899           2140        2.22684        2.56794
              1        19.5043           2141        13.3398        14.2291
              1        8.14346           2144        5.13528         6.3202
              0        4.41993           2147        3.11622        3.13448
              0        4.83689           2150        2.60606         4.0748
              0        3.48888           2152        1.48763        3.15583
              0        4.18303           2160        3.74227          1.869
              0        4.14895           2163        2.10999        3.57236
              0        1.84961           2175        1.34615        1.26844
              0        1.20076           2181    3.87047e-05        1.20076
              0        3.85694           2185      0.0651724        3.85639
              0       0.899172           2189       0.899172            -99
              0    4.94257e-05           2192    4.94257e-05            -99
              0       0.530568           2195       0.530568     2.5202e-05
              0        2.17317           2196        2.17317    1.44576e-05
              0        1.01788           2197        1.01788    1.41643e-05
              0        4.72147           2202        4.44582        1.58963
              0        4.73769           2229        4.73769    1.67104e-05
              0    5.99522e-05           2231    5.99522e-05            -99
              1        5.83338           2234        2.80964        5.11216
              0       0.199013           2239       0.199013            -99
              0        2.15955           2252       0.759105        2.02173
              1        81.2541           2256        71.1405        39.2589
              0       0.404632           2262       0.404632            -99
              1        27.8122           2266        24.5669        13.0378
              0        1.07326           2268        1.07326    2.08446e-05
              0        3.90136           2272        1.31935         3.6715
              0        1.37466           2290       0.315038        1.33807
              1        7.66615           2295        3.30652        6.91641
              0        4.94289           2296        1.12242        4.81376
              0        3.36895           2297        3.27581       0.786667
              0        1.62615           2314        1.62615    7.96739e-06
              0        3.72533           2318         3.6772        0.59686
              0        1.79656           2320       0.114468        1.79291
              0        2.52842           2323        1.06019        2.29541
              1        28.4856           2324        20.9654        19.2842
              1        5.92508           2327        1.58992        5.70778
              1        32.6571           2328        26.8228        18.6285
              0        1.65323           2330       0.065483        1.65194
              0        0.83216           2331        0.83216    1.60658e-05
              1        10.4357           2336        8.78994        5.62507
              0         2.2107           2337         2.2107    1.77182e-05
              0        2.42454           2342        1.68061        1.74755
              0        2.46891           2347        1.89488        1.58271
              0        1.16345           2357    3.74348e-05        1.16345
              0        4.20723           2359        3.44619        2.41343
              1        6.78089           2360        6.65055        1.32314
              0        4.25379           2365        4.25379      0.0001085
              0       0.125153           2369    5.24739e-05       0.125153
              0        2.96044           2374        2.51517        1.56146
              0        2.82313           2376        1.33854        2.48563
              0        1.29042           2378    3.58145e-05        1.29042
              0       0.973362           2387       0.113486       0.966723
              0    3.83777e-05           2395     3.5789e-05    1.38563e-05
              0        2.87632           2399        1.72106         2.3046
              1        6.48462           2408        5.83122        2.83675
