#   SAVEDid        xf70        xe70       xf100       xe100       xf160       xe160       xf250       xe250       xf350       xe350       xf500       xe500       xf850       xe850      xf1160      xe1160      xf1200      xe1200      xf1250      xe1250      xf2000      xe2000      xf2050      xe2050       xfRad       xeRad
#
439      0.9786      0.2664       1.726       0.583       3.048      0.8595        3.45        1.16       2.826       1.187       1.525      0.7496      0.3795      0.2102      0.1453     0.08271      0.1306     0.07126      0.1148      0.0589     0.02566     0.01492     0.02371     0.01379    0.005754    0.001951
442      0.9049      0.5352       1.977       1.176       3.493       1.538       3.401       1.729       2.535       1.556       1.248      0.8434      0.2829      0.2056      0.1062     0.07827     0.09531     0.06882     0.08365     0.05872     0.01843     0.01374     0.01703     0.01267    0.008997    0.003973
449       1.591      0.3615       2.718      0.6735       3.353       1.391        1.96       1.025      0.9358      0.5383      0.3486      0.2107     0.06993     0.04377     0.02631      0.0167     0.02348     0.01437     0.02061     0.01203    0.004646    0.002889    0.004309    0.002671    0.008764    0.001896
450      0.1373      0.0135      0.3429     0.03325       1.883      0.3135       5.808       0.464       8.452       0.344       8.376       0.039       4.225       0.271       2.011       0.166       1.836      0.0735       1.641       -0.03      0.3834     0.03995       0.354     0.03695     0.01171    0.000575
451      0.2709       0.175      0.5881      0.4129      0.9565      0.5845       0.815      0.4161      0.4748      0.2301      0.1992      0.0942     0.04068     0.01994     0.01536    0.007774     0.01379    0.006604     0.01211     0.00535    0.002696    0.001405    0.002487      0.0013    0.002523    0.001629
468     0.09893    0.006875      0.2265      0.0387       1.127      0.3725       3.998      0.5005       6.237       0.223       6.784       0.486       3.919       0.833       1.969       0.512       1.808      0.4155       1.628       0.307      0.4021      0.1276      0.3715      0.1182    0.008681   0.0002845
481      0.4061      0.2292      0.5292      0.2198      0.4878      0.1795      0.2807      0.1265      0.1328     0.06507     0.04877     0.02581    0.009584    0.005526    0.003583    0.002107    0.003189    0.001796      0.0028    0.001486   0.0006458   0.0003519   0.0005989   0.0003255    0.001995    0.001055
482       0.163     0.09658      0.5345      0.3538       1.603       1.331       2.369       2.077       2.172       1.934       1.454       1.306      0.4345      0.3947      0.1713      0.1561      0.1539      0.1394      0.1351      0.1215     0.02936     0.02676     0.02708     0.02468    0.004365    0.003905
490      0.4761      0.3242       1.154      0.7962       2.279       1.414       2.184       1.329       1.433      0.9275      0.6415      0.4235      0.1323     0.08956     0.04822     0.03259     0.04316     0.02835     0.03775     0.02382    0.008154    0.005486    0.007527    0.005063     0.00583    0.003693
498      0.1516      0.0103       0.379     0.02535       2.053       0.254       6.468      0.3675       9.502      0.2575        9.51       0.065       4.847       0.256       2.315       0.154       2.115       0.049       1.891     -0.0685      0.4427     0.03685      0.4088     0.03415     0.01314    0.000425
501      0.1002     0.06439      0.3266      0.2291       0.959       0.776       1.595        1.38       1.611       1.432       1.165       1.053      0.3681      0.3383      0.1476      0.1362      0.1326      0.1219      0.1166      0.1065     0.02542     0.02349     0.02345     0.02166    0.002798    0.002419
502      0.1355      0.0917      0.4776      0.3586       1.696       1.365       2.993       2.513       3.031       2.605       2.204       1.928      0.6986      0.6224      0.2797      0.2505      0.2514      0.2238       0.221      0.1949     0.04809     0.04313     0.04435     0.03977     0.00542    0.004508
