#   SAVEDid      xmeAGN       xfAGN       xeAGN      xmeSFR       xfSFR       xeSFR       xfTOT       xeTOT       xf_zz       xe_zz
#
1005           0       108.7       108.7       338.7       329.9       107.1       427.7       102.1       2.815       0.208
1006       3.584       5.411       5.411       48.53       47.83       2.069       53.24       3.342       0.946           0
1008       1.555       2.889       2.889       29.77       28.09       2.276       30.43       3.493       1.029           0
1023           0        0.84        0.84       42.53        36.6       32.03          37       31.64        2.24       0.292
1026           0      0.7003      0.7003       16.33       18.71       4.624       19.41       3.924       1.811       0.121
1035     0.09067      0.1417      0.1417       1.544       1.487      0.5494       1.649      0.4282      0.7778           0
1036       116.8       98.78       35.35         538       500.1       55.12       587.4       74.45       4.343       0.303
1037           0      0.6352      0.6352       5.444       4.924      0.5198       5.434      0.9128      0.7703           0
1042        0.12     0.06002     0.06002       2.895       2.684      0.5107       2.744      0.4507        1.06           0
1053       22.42       31.38       31.38       115.8       107.1       76.71       130.3        70.8        2.43       0.309
1058       0.629      0.3145      0.3145       5.478       4.738       2.636       5.122        2.39       1.038           0
1064           0      0.1856      0.1856       2.542       2.569       1.666       2.738       1.782      0.5869        0.14
1075       3.334       3.335       3.335        10.1       10.69       5.559       13.27       6.592       1.055      0.1802
1076       17.71       13.34       13.34       38.96       66.79       29.16       76.15        28.1         1.6       0.134
1077       2.827       2.657       1.335       13.33       13.46       2.095       16.12      0.7604       0.938           0
1081     0.02045     0.05552     0.05552      0.7278      0.5069      0.4502      0.5097      0.4474      0.2293        0.11
1084       0.294       4.489       4.489       62.92       61.27       1.769       64.59       4.023       1.144           0
1089      0.2156       1.407       1.407       8.286        10.2       5.553       11.55       5.819      0.9719      0.1701
1091       5.233       4.295       4.295       10.58       28.63       20.84       31.73       17.74       2.783       0.163
1094       77.78       54.94       54.94         224       234.9          19       298.6       48.58        3.53           0
1101           0       1.519       1.519       5.392       8.779       7.296       10.46       7.923       1.082        0.18
1102       1.855       1.177      0.6778       2.263         2.4      0.1367       3.585      0.5491      0.4724           0
1103           0       17.08       17.08       82.23       77.59       11.93        87.9       15.24       1.363           0
1104           0      0.3722      0.3722       4.682       4.751      0.7374        5.02      0.8396      0.5948           0
1105      0.3876        2.93        2.93        18.1       17.45       1.325       19.94       2.977      0.9441           0
1109       19.64       43.09       43.09       62.97       114.4       107.4       132.5       124.8       1.601         0.9
1113           0      0.8872      0.8872       19.87       16.24       3.631       16.79       3.085       1.457           0
1118           0      0.2704      0.2704       1.924       1.941     0.09195       2.192       0.268      0.3866           0
1121      0.6812      0.3523      0.3523       1.884        2.71       1.328       3.062      0.9761      0.7997           0
1123       8.519       11.57       11.57       37.23        58.7       40.78       66.22       34.02       3.135      0.2315
1125      0.3317      0.7581      0.7581       5.095       4.835       2.481       5.593       1.723       1.023           0
1129           0       3.654       3.654         109       102.5        51.8       105.4       52.49       2.588      0.2935
1133    0.002952      0.0144      0.0144      0.2271      0.2045     0.05358      0.2189     0.03918      0.2538           0
1135           0     0.06481     0.06481      0.2263      0.1696     0.05666      0.2262       0.112       0.121        0.02
1140     0.08378       0.229      0.2275      0.3364       1.042      0.8109       1.298      0.9564      0.4768        0.13
1141      0.4081       2.229       2.229       32.51       22.31       11.28       22.36       11.22       1.174      0.1901
1143           0      0.4072      0.4072       1.322       1.271      0.0516       1.678      0.3556      0.2804           0
1144      0.1063       1.092       1.092       2.668       6.463       5.553       6.865       5.151        1.33        0.21
1146           0       20.06       20.06      0.5329       304.8       304.8       318.4       318.4       2.601         2.6
1147       22.01       14.59       14.12       12.46       14.87       5.425       29.31       16.89        1.26       0.203
1148       70.63       35.31       35.31       505.8       452.3       98.89         475       101.4       3.255       0.301
1150       1.533       10.97       10.97       26.44       22.77          10       32.18       9.187       1.364           0
1159           0       17.34       17.34       484.1       471.5       17.05       488.1       31.34       3.216       0.035
1160       21.49       14.63       14.63        11.5       25.73       16.14        40.3       10.51       2.358       0.206
1167       2.191       13.17       13.17       315.3       323.5       12.04       327.7       10.33        2.92           0
1168       8.222       198.6       198.6       996.1       953.2       492.4        1096       521.2       3.251        0.65
1172       0.662      0.8729      0.8729       3.101       9.335       6.394       9.647       6.083        1.33        0.21
1181       1.609       1.784       1.784       8.725       10.34       5.384       12.13       3.603       1.772       0.095
1186       6.545       5.689       5.689       25.48       23.48       16.98       27.13       15.57        1.46       0.221
1202      0.6201       1.737       1.737       13.16       13.17       5.895       14.57       4.497       1.829      0.2075
1208       1.712       1.601       1.601       18.28       21.08       7.567       22.76       7.796       1.521      0.2145
1221      0.1296       1.436       1.436       14.86       15.25        6.38       15.31       6.321       1.167      0.1703
1222      0.2294      0.2618      0.2618       2.801       3.619       3.022       3.889       2.898      0.9219      0.1201
1225     0.01879        1.65        1.65       5.579       6.679       3.228       7.336       3.766      0.5341         0.1
1235      0.3275       15.42       15.42       25.98       23.04       7.432       37.92       11.83      0.8919           0
