#        _id   snrFIRSMM     zFIRSMM      snr100      snr160      snr250      snr350      snr500      snr850     snr1160
#
        1113       3.029       1.457       1.832       2.412         -99         -99         -99      1e-109         -99
        1118       8.134      0.3866       5.651       5.287       2.505         -99         -99      1e-109         -99
        1121       2.513      0.7997       2.434      0.6251         -99         -99         -99      1e-109         -99
        1123       1.835       3.135   5.494e-05   1.888e-05         -99         -99         -99       1.835   2.902e-10
        1125   3.219e-05       1.023   3.058e-05   1.005e-05         -99         -99         -99      1e-109         -99
        1129       3.883       2.571       2.233       3.094       0.578      0.4268         -99   1.374e-09   1.526e-10
        1133       2.083      0.2538       2.079      0.1342         -99         -99         -99      1e-109         -99
        1135       18.58       0.131       8.476       15.75       4.494       2.261         -99      1e-109         -99
        1140       1.809      0.4768       1.809    1.13e-05         -99         -99         -99      1e-109         -99
        1141       3.417       1.174       2.546       2.087      0.9143         -99         -99      1e-109         -99
        1143       14.71      0.2804       10.68       9.323       3.902      0.5798         -99      1e-109         -99
        1144       1.084        1.33       1.083     0.05219         -99         -99         -99      1e-109         -99
        1146     0.07249       2.601     0.06979   9.993e-06     0.01959   4.772e-08   2.648e-08   8.675e-51   2.396e-10
        1147       5.176        1.26       4.889         1.7         -99         -99         -99      1e-109         -99
        1148        5.99        3.18       3.227        1.98       2.664       1.785        1.29       2.723       1.476
        1150       5.607       1.364       4.709       2.834       1.108         -99         -99      1e-109         -99
        1159        13.5       3.234       2.442       4.281       2.844       5.773       2.769       9.599       4.085
        1160       0.388       2.358       0.388    2.22e-05         -99         -99         -99      1e-109         -99
        1167       3.506        2.92       1.919       2.211       1.724       0.649      0.5706   1.161e-09   1.342e-10
        1168       8.938       2.751       5.214       6.513       2.737      0.8916      0.6663      0.4616       1.159
        1172       1.101        1.33       1.101   1.714e-05         -99         -99         -99      1e-109         -99
        1181   5.731e-05       1.772   5.388e-05   1.952e-05         -99         -99         -99      1e-109         -99
        1186       1.713        1.46       1.369        1.03   6.296e-08         -99         -99      1e-109         -99
        1202       2.206       1.829       1.741       1.355         -99         -99         -99      1e-109         -99
        1208       3.855       1.521       2.673       2.778         -99         -99         -99      1e-109         -99
        1221       3.816       1.167       1.897       3.059       1.268         -99         -99      1e-109         -99
        1222       1.327      0.9219      0.8173       1.045         -99         -99         -99      1e-109         -99
        1225       8.904      0.5341       5.691       4.496       3.704       3.068       1.886      1e-109         -99
        1235       9.385      0.8919       7.765        5.27   4.695e-08   1.955e-08         -99      1e-109         -99
        1239       25.55       0.836       19.12       12.49       9.837       5.783       1.006      1e-109         -99
        1248       14.59        1.24       9.177       10.25       4.193       2.437      0.3898   8.675e-51   2.416e-10
        1252   5.441e-05        2.22   5.441e-05         -99         -99         -99         -99      1e-109         -99
        1253       1.692       1.847   5.421e-05       1.692         -99         -99         -99      1e-109         -99
        1262       4.131       3.776      0.5075   9.338e-06       2.046      0.8153      0.4677       3.061       1.539
        1269       6.612        2.21       3.569       4.565       1.555   4.123e-08   3.057e-08       2.701      0.6608
        1270       2.667       1.083       2.667   2.546e-05         -99         -99         -99      1e-109         -99
        1273      0.3958      0.7441           0      0.3958         -99         -99         -99      1e-109         -99
        1278       2.283        1.54       1.846       1.342         -99         -99         -99      1e-109         -99
        1284       6.164       3.591       1.074       2.026       2.428       1.282       3.121       1.856       3.465
        1285       8.539      0.1965       5.477       3.646       5.324       1.125         -99      1e-109         -99
        1293       8.778      0.7939       5.884       5.506        3.28       1.163         -99      1e-109         -99
        1303       2.813      0.6335       2.574       1.135         -99         -99         -99      1e-109         -99
        1306   5.872e-05       0.041   4.875e-05   3.273e-05         -99         -99         -99      1e-109         -99
        1313       2.987      0.4067       1.335       2.672         -99         -99         -99      1e-109         -99
        1315       5.165       1.711       3.142       3.737       1.686         -99         -99      1e-109         -99
