#      Type_AGN        SAVEDid          radio         eradio          xfRad           xeRad
#
              0           1775          11.08          2.854       0.004792       0.001241
              0           1779          1.296          2.765       0.002312      0.0006135
              0           1813         0.0644          2.983       0.002079       0.001279
              0           1814          2.684          3.128       0.003223       0.002368
              0           1818          1.714          2.647       0.004276       0.001344
              0           1822          6.133           2.91       0.002883       0.001473
              0           1824          1.394          2.987       0.002498       0.002194
              0           1836        -0.3477          2.728       0.002559       0.000651
              0           1843          2.656          2.738       0.004071       0.000884
              0           1847          3.354          2.721       0.004284       0.001279
              0           1850           4.36           2.74       0.003351       0.002365
              0           1855           8.12          2.659       0.004304      0.0005085
              0           1859          3.557          2.871       0.002501       0.000656
              0           1865          3.086          2.852        0.00155       0.000734
              0           1866          9.248           2.86        0.01018        0.00111
              0           1870          2.468          2.749         0.0024       0.001266
              1           1880           23.9            2.9       0.009435       0.002095
              0           1886          1.812          2.742       0.002724       0.001694
              0           1894          3.294          2.712       0.002827       0.000695
              0           1899          8.367          2.759       0.002368       0.001372
              0           1907          7.543           2.86       0.002718       0.000373
              0           1908          6.296          2.856       0.004618      0.0006845
              0           1918          2.283          2.807       0.002217       0.001073
              0           1919          1.202          2.923       0.001396      0.0006412
              0           1921          4.442          2.887        0.01272       0.000535
              0           1930           34.9            2.9        0.02823        0.00063
              0           1937          1.332          2.737       0.002207       0.000201
              0           1938           1.03          2.796       0.002373      0.0004175
              0           1944          6.494          2.662       0.005408       0.001004
              0           1945          6.505          2.705       0.007825       0.002655
              0           1951           3.96           2.69       0.005294       0.001428
              0           1960          6.705          2.903       0.003225       0.001582
              0           1961        -0.3255          2.775       0.002998      0.0005005
              0           1968          2.462          2.665       0.003426       0.001306
              0           1973          6.011          2.847       0.005804       0.001288
              0           1990         0.3233          2.724       0.003482       0.001298
              0           1999          2.126           2.75       0.002568       0.001811
              0           2007        -0.3326          2.749       0.003389       0.002943
              0           2022          2.256           2.84       0.002042       0.000973
              0           2025          4.788            2.9        0.00831       0.001233
              0           2032          3.457          2.924        0.00177       0.001226
              0           2046          1.444          2.647        0.00119      0.0006605
              0           2052           2.54          2.677       0.002622      0.0007285
              0           2054          6.417          2.702        0.00618      0.0005335
              0           2056          6.204          2.668       0.003831      0.0009015
              0           2059         0.8449          2.923       0.002666       0.001623
              0           2061           17.6            2.7        0.01551        0.00298
              0           2089          2.337          2.904       0.001733      0.0008749
              0           2094           61.9              5        0.04968       0.004205
              0           2099          10.89          2.866        0.01218         0.0006
              0           2101          2.368           2.95       0.002984       0.001911
              0           2106          6.626          2.787       0.003832       0.002205
              1           2115          11.14           2.68       0.001698        0.00061
              0           2124         0.1165          2.676       0.003202       0.001316
              0           2129          3.705          2.718       0.004138       0.002175
              0           2135           73.9              3        0.07675        0.00156
              0           2137          4.727          2.822       0.001489       0.001091
              0           2140          4.442          2.943       0.004156       0.001237
              0           2141          16.38          2.926        0.02128       0.000285
              0           2144          7.282          3.011        0.01031        0.00029
              0           2147          4.815          2.677       0.003884      0.0006835
              0           2150           4.12          2.665       0.007353       0.001568
              0           2152          2.879          2.823        0.00471      0.0002765
              0           2160         0.6035          2.742       0.003853       0.001113
              0           2163          1.331          2.673        0.00309      0.0008945
              0           2175          3.142          2.668       0.009052       0.000414
              0           2181          4.798          3.036        0.00239         0.0013
              0           2185          3.461          2.693       0.005633       0.001861
              0           2189        -0.2328          2.816       0.001058      0.0003561
              0           2192        -0.3314          2.655        0.00165      0.0008896
              0           2195          9.662          2.782       0.002389        0.00173
              0           2196          3.545          2.862       0.003174        0.00195
              0           2197          13.22           2.86       0.005364       0.001647
              0           2202          6.236          2.665       0.006971        0.00195
              0           2229           4.76          2.862       0.003847      0.0007275
              0           2231         0.6755           2.82       0.001062      0.0005397
              0           2234          6.632          2.725       0.005283       0.000248
              0           2239        -0.3611          2.656       0.001898       0.000418
              0           2252        -0.3155          2.714       0.001901       0.001118
              0           2256          130.9           18.4        0.08858        0.00249
              0           2262        -0.3189          2.669       8.46e-14       8.46e-14
              0           2266             36            7.3          0.026       0.002265
              0           2268          7.272          2.743       0.002935       0.001846
              0           2272        -0.2272          2.638        0.00515       0.001451
              0           2290          5.579          2.643       0.002386       0.001473
              1           2295           43.7            5.3       0.006279      0.0001495
              0           2296         -0.174           2.66       0.004249        0.00028
              0           2297          7.393          2.828       0.004821      0.0006935
              0           2314          6.876          2.784       0.005717       0.002909
              0           2318          1.107          3.098       0.005351       0.001794
              0           2320           25.4            2.9        0.01586       0.001785
              0           2323          6.622          2.617       0.004537       0.001596
              0           2324           39.4            2.9        0.02799        0.01078
              0           2327          1.718           2.82       0.007485      0.0003605
              0           2328           48.2            7.2        0.04036       0.003175
              0           2330          3.307          2.705        0.00252       0.001285
              0           2331          9.175          2.657       0.003697       0.002367
              0           2336           15.8          2.713        0.01376       0.001615
              0           2337          5.276          2.712       0.008133       0.002238
              0           2342          4.262          2.786       0.002626       0.000938
              0           2347           2.62           2.92       0.003051       0.001511
              0           2357          4.082          2.654       0.002447        0.00077
              0           2359        -0.3536          2.745       0.003523       0.001212
              0           2360          8.687          3.289        0.00392      0.0004195
              0           2365        0.05018          2.779       0.006703       0.003086
