#   SAVEDid        xf70        xe70       xf100       xe100       xf160       xe160       xf250       xe250       xf350       xe350       xf500       xe500       xf850       xe850      xf1160      xe1160      xf1200      xe1200      xf1250      xe1250      xf2000      xe2000      xf2050      xe2050       xfRad       xeRad
#
438       2.372      0.2555       5.947      0.2035       9.997       0.183       8.777      0.7115       5.618      0.8695       2.496      0.4935      0.5141      0.1239      0.1874      0.0461      0.1677     0.03385      0.1468      0.0208     0.03178     0.00779     0.02932    0.007215     0.02481     0.00173
439      0.9238      0.0634       1.551       0.125       2.595      0.3335       3.111      0.7645       2.536      0.8985       1.371      0.6028      0.3422      0.1751      0.1311     0.06916      0.1179     0.05911      0.1036     0.04826     0.02317     0.01247     0.02141     0.01153    0.005297    0.001289
442       1.222      0.3639       2.658       0.278       6.158        0.41         7.3       1.567       5.535       1.833       2.778       1.097      0.6401      0.2904      0.2425      0.1124      0.2178      0.0944      0.1913     0.07505     0.04255     0.02001      0.0393     0.01849     0.01589     0.00161
449       2.935      0.2365       6.163      0.0445       8.823       0.155       5.524      0.1775       2.715      0.1085       1.027      0.0439      0.2085      0.0093     0.07873     0.00359     0.07062    -0.00062     0.06198    -0.00514     0.01389    0.000635     0.01286    0.000585     0.02003     0.00051
450      0.2744      0.0262      0.5465     0.04595       1.935      0.3485       6.344       0.322       9.856      0.3145       10.62       1.184       6.061       1.339       3.021       0.776       2.774      0.6265       2.495      0.4575      0.6113      0.1845      0.5648      0.1708     0.01328    0.000445
451      0.1626      0.0477      0.3613      0.1427      0.6823      0.2388      0.7004      0.2323      0.4578      0.1469      0.2176      0.0726     0.04797       0.017     0.01816    0.006635      0.0163     0.00538     0.01432     0.00404     0.00318    0.001217    0.002933    0.001126    0.001694   0.0006635
468       0.259     0.06385      0.5106      0.1209       1.673       0.413       5.545      0.2805       8.434       0.455       9.168       1.482       5.332       1.592       2.688       0.925        2.47       0.784       2.225       0.626      0.5517      0.2194      0.5098      0.2031     0.01146    0.000705
481      0.7994      0.5596       1.013      0.6234      0.7781       0.391      0.3312      0.1361      0.1448     0.05896     0.05261     0.02423      0.0103    0.005273    0.003845    0.002022    0.003417    0.001706       0.003    0.001386   0.0006954   0.0003347   0.0006475   0.0003072    0.003986    0.002776
482      0.1224     0.05505      0.2687     0.08555      0.7261      0.3699         1.2      0.8384       1.252      0.9671      0.9328      0.7612      0.2992      0.2536      0.1202      0.1027      0.1082     0.09156     0.09514     0.07951     0.02098     0.01795     0.01937     0.01656    0.002055    0.001616
490      0.2237      0.0738      0.5082      0.2208       1.074      0.4988       1.232      0.6601       0.914       0.555       0.449      0.2868      0.1012      0.0674     0.03808     0.02543     0.03418     0.02217        0.03     0.01869    0.006622    0.004438    0.006113    0.004097    0.002711    0.001363
498      0.5186      0.0845       0.999       0.157       2.659      0.4065       7.399      0.3845       10.69        0.35       11.24       1.463       6.357       1.675       3.179      0.9805       2.919      0.8175       2.627       0.634       0.648      0.2348      0.5988      0.2174      0.0139     0.00043
501      0.1191     0.07963      0.4242      0.3208       1.377        1.13       2.341       2.055       2.321       2.086       1.671       1.529      0.5241      0.4859      0.2096      0.1951      0.1884      0.1746      0.1656      0.1526     0.03605     0.03356     0.03324     0.03095    0.004216    0.003747
