#   SAVEDid        xf70        xe70       xf100       xe100       xf160       xe160       xf250       xe250       xf350       xe350       xf500       xe500       xf850       xe850      xf1160      xe1160      xf1200      xe1200      xf1250      xe1250      xf2000      xe2000      xf2050      xe2050       xfRad       xeRad
#
413       0.369      0.1372      0.7794      0.2686       1.345       0.286       1.099      0.3785      0.6233       0.262      0.2707      0.1356     0.05704     0.03108     0.02166     0.01203     0.01947     0.01034     0.01712    0.008521    0.003825    0.002149    0.003536    0.001983     0.00341   0.0008565
414      0.4779     0.09045        1.14      0.2194       1.911       0.511       1.649      0.5345       1.029      0.3909      0.4502      0.1846      0.0913     0.04011     0.03319     0.01466      0.0297     0.01214     0.02599    0.009465     0.00561    0.002474    0.005173    0.002289     0.00502    0.001279
416      0.5945      0.3256      0.9185      0.3695       1.337      0.6953       1.051      0.6852      0.5716       0.412      0.2282      0.1755     0.04687     0.03751     0.01778     0.01439     0.01598     0.01276     0.01405     0.01102    0.003143    0.002516    0.002909    0.002323    0.003445    0.001486
418      0.2037      0.0448      0.5542      0.1853       1.268      0.3905       1.475      0.5459       1.141       0.482      0.5712      0.2627      0.1312     0.06473     0.04926     0.02476      0.0442     0.02097     0.03879     0.01692    0.008556    0.004354      0.0079     0.00402    0.003261    0.001039
421      0.2035     0.06425       0.461      0.1908       1.032      0.4499       1.294      0.6627       1.011      0.6044      0.5127      0.3374      0.1195     0.08476     0.04509     0.03236     0.04047     0.02841     0.03553     0.02417    0.007853    0.005677    0.007235    0.005254    0.002668    0.001287
428      0.1394      0.0473      0.3821      0.2165      0.8782      0.5418       1.112      0.7411      0.9109      0.6562      0.4775      0.3663      0.1146     0.09228     0.04342     0.03523     0.03898     0.03122     0.03422     0.02692    0.007576    0.006174    0.006993    0.005706    0.002251    0.001474
429      0.2973      0.2062      0.6262      0.4698       0.973       0.681       0.899      0.6081      0.5944      0.4096      0.2655       0.185     0.05917     0.04334     0.02218      0.0164     0.01991     0.01442     0.01747      0.0123    0.003843    0.002878    0.003549    0.002657    0.002591    0.001933
430      0.1729      0.0362      0.4661      0.1283        1.03      0.1975       1.232      0.1915      0.9277      0.1454      0.4431     0.08385     0.09713     0.02137     0.03617    0.008325     0.03244    0.006045     0.02845      0.0036    0.006249    0.001495     0.00577     0.00138    0.002652     0.00051
431      0.4404       0.129      0.9587      0.2604       1.567      0.3095       1.369       0.329      0.7958      0.2292      0.3402      0.1101      0.0706     0.02511      0.0267    0.009775       0.024     0.00794     0.02109    0.005965    0.004684    0.001753    0.004328    0.001619    0.004198    0.000934
432      0.4786      0.3431      0.8165      0.5755       1.077      0.6362      0.8531      0.4399      0.5391       0.297       0.238      0.1513     0.05033     0.03469     0.01911     0.01344     0.01717     0.01181      0.0151     0.01005     0.00338      0.0024    0.003124    0.002215    0.003109    0.002102
433      0.3766        0.32      0.5826      0.4504       0.856       0.636       1.184       1.109       1.426       1.399       1.318        1.31      0.5863      0.5847      0.2678      0.2672      0.2429      0.2424      0.2154      0.2149     0.04928     0.04915     0.04551     0.04539    0.002491    0.001683
437      0.1732     0.07596      0.3913      0.1841       1.399      0.6593       2.059       1.024       2.253       1.267       1.794       1.094      0.6897      0.4674      0.3024      0.2132      0.2734      0.1888      0.2416      0.1618     0.05378     0.03845     0.04962     0.03548    0.003669    0.001878
438       2.282      0.3055       5.788       0.264       9.877       0.223       8.911       0.976       5.816       1.145       2.635      0.6645      0.5529      0.1691       0.202     0.06295      0.1808      0.0491      0.1582      0.0343     0.03422     0.01064     0.03157     0.00984     0.02439    0.001805
439      0.9238      0.0634       1.551       0.125       2.595      0.3335       3.111      0.7645       2.536      0.8985       1.371      0.6028      0.3422      0.1751      0.1311     0.06916      0.1179     0.05911      0.1036     0.04826     0.02317     0.01247     0.02141     0.01153    0.005297    0.001289
442       1.194      0.3393       2.593       0.208       6.026       0.299       7.209       1.349       5.498       1.617       2.764       0.978      0.6372      0.2614      0.2414      0.1014      0.2168       0.084      0.1904      0.0653     0.04235     0.01807     0.03911     0.01671     0.01523     0.00168
449       2.902       0.271       6.013      0.0485       8.546      0.2055       5.292       0.265       2.584       0.167      0.9753      0.0687      0.1977      0.0146     0.07461    0.005635     0.06696     0.00153     0.05877   -0.002875     0.01318    0.000975     0.01221    0.000905     0.01943    0.000595
450      0.2498     0.02375      0.4921      0.0426        1.63       0.256       5.359       0.344       8.317      0.3395       9.091      0.8535       5.239      0.9935       2.616      0.5805       2.402       0.454       2.162       0.312      0.5307      0.1393      0.4903      0.1289     0.01106     0.00056
451      0.1626      0.0477      0.3613      0.1427      0.6823      0.2388      0.7004      0.2323      0.4578      0.1469      0.2176      0.0726     0.04797       0.017     0.01816    0.006635      0.0163     0.00538     0.01432     0.00404     0.00318    0.001217    0.002933    0.001126    0.001694   0.0006635
468      0.2682      0.0904      0.5179       0.164       1.734       0.639       4.696      0.4655       6.484       1.133       6.969       1.973       4.105       1.701       2.081      0.9485       1.912      0.8305       1.724       0.698      0.4293      0.2171      0.3967      0.2009    0.008962    0.001288
481      0.7994      0.5596       1.013      0.6234      0.7781       0.391      0.3312      0.1361      0.1448     0.05896     0.05261     0.02423      0.0103    0.005273    0.003845    0.002022    0.003417    0.001706       0.003    0.001386   0.0006954   0.0003347   0.0006475   0.0003072    0.003986    0.002776
482      0.1224     0.05505      0.2687     0.08555      0.7261      0.3699         1.2      0.8384       1.252      0.9671      0.9328      0.7612      0.2992      0.2536      0.1202      0.1027      0.1082     0.09156     0.09514     0.07951     0.02098     0.01795     0.01937     0.01656    0.002055    0.001616
490      0.2237      0.0738      0.5082      0.2208       1.074      0.4988       1.232      0.6601       0.914       0.555       0.449      0.2868      0.1012      0.0674     0.03808     0.02543     0.03418     0.02217        0.03     0.01869    0.006622    0.004438    0.006113    0.004097    0.002711    0.001363
498       0.511      0.0822      0.9833      0.1467       2.526       0.423       7.007      0.5835       10.17       0.322       10.39       1.097       5.848       1.398        2.92       0.831       2.681       0.684       2.412      0.5185      0.5942      0.2016      0.5491      0.1867     0.01302    0.000875
501      0.1329     0.07642       0.428      0.3019       1.521       1.114       2.646       2.124       2.706       2.226       1.987       1.655      0.6442      0.5428        0.26      0.2198      0.2338      0.1956      0.2055      0.1696     0.04481     0.03791     0.04133     0.03496    0.004719    0.003858
