#            id   flag_SB_MS_1   dist_to_MS_1   dist_to_MS_2        log_SFR   log_SFR_MS_1    log_SFR_MS_2
#
           1416              0      -0.383076      -0.297115        1.25888        1.64195        1.55599
           1419              0      -0.682431      -0.767431       0.879898        1.56233        1.64733
           1420              0      -0.340507      -0.392255        1.38274        1.72324        1.77499
           1434             -1      -0.208205      -0.419139       0.532117       0.740322       0.951256
           1437              0       0.590462       0.791957        1.00689       0.416431       0.214936
           1445             -1      -0.271019       -0.20305        2.56003        2.83105        2.76308
           1449             -1      -0.645501      -0.842238       0.203305       0.848805        1.04554
           1452             -1      0.0972938      0.0525738        1.68502        1.58773        1.63245
           1458             -1      0.0850554      0.0685902         1.7383        1.65325        1.66971
           1469              0       -1.36995       -1.41739       0.332438        1.70238        1.74983
           1475             -1      -0.062738     -0.0869132        1.98322        2.04596        2.07013
           1476              0      -0.685062      -0.782846       0.722716        1.40778        1.50556
           1477              0      -0.412356      -0.165299       -2.59176        -2.1794       -2.42646
           1479              0      -0.504122      -0.634009       0.603036        1.10716        1.23704
           1480              0      -0.957749       -1.00031        1.52035         2.4781        2.52067
           1490             -1       0.156277       0.128618        2.10072        1.94444         1.9721
           1491             -1       0.128379     -0.0196559        1.23325        1.10487        1.25291
           1495              0            -99            -99        1.87616            -99            -99
           1497              0      -0.374671      -0.403069        1.80229        2.17697        2.20536
           1501             -1      -0.437014      -0.399794        1.67293        2.10994        2.07272
           1502              0      -0.170265     -0.0855041        1.33666        1.50692        1.42216
           1513              0       -1.09017       -1.02037       0.803867        1.89404        1.82423
           1515             -1      0.0487696     -0.0314682        1.35238        1.30361        1.38384
           1520              0        -1.1419        -1.2189      0.0852906         1.2272        1.30419
           1524              0      -0.618662      -0.751256       0.379306       0.997967        1.13056
           1525              0       -2.41242       -1.09632       0.170555        2.58298        1.26688
           1532              0       -1.16779       -1.24576       0.376212          1.544        1.62197
           1533             -1       0.257504      0.0926385        1.26126        1.00376        1.16862
           1543              0       -1.67612       -1.65782        0.21801        1.89413        1.87583
           1544              0      -0.264966      -0.203272        1.18441        1.44937        1.38768
           1545              0      -0.386992      -0.455082        0.78476        1.17175        1.23984
           1548              0      -0.630613      -0.648143     -0.0856568       0.544956       0.562486
           1551              0      -0.406138      -0.310467       0.426349       0.832486       0.736816
           1556              0            -99            -99        2.20412            -99            -99
           1558              0      -0.342437      -0.487665       0.650113       0.992551        1.13778
           1563              0      -0.801362      -0.948705       0.326745        1.12811        1.27545
           1567             -1      -0.418889      -0.577356       0.662947        1.08184         1.2403
           1569              0      -0.278273      -0.417719       0.901458        1.17973        1.31918
           1579              0      -0.990117       -1.05836       0.685742        1.67586         1.7441
           1592             -1       -1.02768      -0.935294       0.845036        1.87272        1.78033
           1593              0      -0.392216      -0.557298       0.344785       0.737001       0.902083
           1602              0     -0.0273032       0.137974       0.992509        1.01981       0.854536
           1604              0      -0.262667      -0.257492        1.09202        1.35469        1.34951
           1606              0      -0.872701      -0.945242       0.698709        1.57141        1.64395
           1616              0      -0.406187      -0.449733        1.30578        1.71197        1.75551
           1618             -1      -0.301679       -0.32528        1.41246        1.71414        1.73774
           1622              0     -0.0768625      -0.160176       0.937769        1.01463        1.09794
           1626              0      -0.154485      0.0287633       0.918397        1.07288       0.889634
           1629              0      -0.296572      -0.317514        1.79246        2.08903        2.10998
           1631              0      -0.501113      -0.550391        1.27485        1.77596        1.82524
           1633             -1       0.316657      0.0831028        0.57461       0.257953       0.491507
           1634              0      -0.112722      -0.104063      0.0784568       0.191178        0.18252
           1638              0      -0.523482      -0.687516       0.476252       0.999734        1.16377
           1644              0       -1.36128        -1.3622      0.0996806        1.46096        1.46188
           1648             -1      -0.239958      -0.126667        2.21906        2.45902        2.34573
           1650              0      -0.617944       -0.54623        1.23019        1.84814        1.77642
           1651             -1       -0.29149      -0.376537        2.48387        2.77536        2.86041
           1662              0      -0.246764      -0.230279       0.359266        0.60603       0.589545
           1673              0       -3.29217       -2.94908       -2.19199        1.10018       0.757093
           1693              0       -1.72319       -1.23688              0        1.72319        1.23688
           1702              0         0.2536       0.557574        1.21405       0.960449       0.656474
           1709              0      -0.445367      -0.534242       0.972064        1.41743        1.50631
           1710              0      -0.060826      0.0316324        1.16909        1.22991        1.13745
           1711              0      -0.446626      -0.468186     -0.0719628       0.374663       0.396223
           1712             -1     -0.0503767     -0.0742675         2.0306        2.08098        2.10487
           1717              0       -1.04481       -1.01538        0.77873        1.82354        1.79411
           1724             -1      -0.318439      -0.441301       0.941163         1.2596        1.38246
           1734              1      -0.294268      -0.173304        1.35276        1.64703        1.52607
           1735             -1      -0.366624       -0.44973        2.84954        3.21617        3.29927
           1737              0      -0.405505      -0.479347        1.21669         1.6222        1.69604
           1740              0      -0.203432      -0.276904       0.519171       0.722604       0.796076
           1741              0      -0.400808      -0.516807        0.87691        1.27772        1.39372
           1747              0      -0.564823      -0.525385        1.11893        1.68375        1.64431
           1753             -1      -0.476518      -0.495919        1.35908        1.83559          1.855
           1762             -1      0.0237036    -0.00446677        2.06819        2.04448        2.07265
           1764              0    -0.00324234     -0.0686692      -0.450506      -0.447264      -0.381837
           1775              0      -0.123197     -0.0218563        1.11727        1.24047        1.13913
           1779              0       -0.26494      -0.295615       0.425697       0.690637       0.721312
           1813              0      -0.597879       -0.64011        1.04336        1.64124        1.68347
           1814              0      -0.753429      -0.740218        1.40243        2.15586        2.14265
           1818              0      -0.312548      -0.311775        1.12287        1.43542        1.43465
           1822              0      -0.396205      -0.560632      -0.213604       0.182602       0.347029
           1824              0            -99            -99         2.4079            -99            -99
           1836              0      -0.919348       -1.15874      -0.787546       0.131802       0.371195
           1843              0      -0.293186      -0.456938       0.329601       0.622787       0.786539
           1847              0      -0.378341      -0.510588       0.682506        1.06085        1.19309
           1850              0       0.428606       0.635173        1.66039        1.23179        1.02522
           1855              0       0.556123       0.789213       0.636688      0.0805659      -0.152525
           1859              0     -0.0306455     -0.0823375       0.065953      0.0965985        0.14829
           1865              0      -0.761485      -0.828436       0.400711         1.1622        1.22915
           1866             -1      0.0498871     -0.0439887        1.22789          1.178        1.27188
           1870              0      -0.448675      -0.386015       0.907035        1.35571        1.29305
           1880             -1      -0.498003      -0.549289        1.04727        1.54528        1.59656
           1886              0       0.101428        0.23911        1.70243          1.601        1.46332
           1894              0      -0.240978      -0.286538       0.616581       0.857559       0.903118
           1899              0      -0.470871      -0.481724       0.262688       0.733559       0.744413
           1907              0       0.196427       0.153169       0.261501      0.0650733       0.108332
           1908              0     -0.0286696      -0.141228       0.297104       0.325773       0.438332
           1918              0      -0.560891      -0.681848      -0.844664      -0.283773      -0.162816
           1919              0       0.143972       0.290353      0.0232525       -0.12072        -0.2671
           1921              0       0.800017       0.841138        2.57784        1.77782         1.7367
           1930              1       0.624126       0.510549        1.62747        1.00334        1.11692
           1937              0      -0.311399      -0.362758      -0.855115      -0.543715      -0.492357
           1938              0      -0.214315      -0.209173      -0.971836       -0.75752      -0.762663
           1944              0      -0.527559      -0.555004        1.32777        1.85533        1.88277
           1945             -1       0.395518       0.349254        2.54667        2.15115        2.19741
           1951              0      -0.171009       -0.27182        0.90993        1.08094        1.18175
           1960              0      -0.331708      -0.448539       0.605844       0.937551        1.05438
           1961              0     -0.0260261     -0.0599515     -0.0533513     -0.0273252     0.00660026
