#   SAVEDid        xf70        xe70       xf100       xe100       xf160       xe160       xf250       xe250       xf350       xe350       xf500       xe500       xf850       xe850      xf1160      xe1160      xf1200      xe1200      xf1250      xe1250      xf2000      xe2000      xf2050      xe2050       xfRad       xeRad
#
337     0.07334     0.03616      0.1626     0.07861      0.4516      0.2555       0.775      0.5231      0.8821       0.644      0.7801      0.6119      0.3317      0.2791      0.1493      0.1283      0.1353      0.1154      0.1198       0.101     0.02727     0.02366     0.02518     0.02185    0.002259    0.001537
339      0.1669      0.0842      0.3361      0.1981      0.6093      0.3352      0.6231        0.36      0.4483      0.2884      0.2238      0.1534     0.05107     0.03694      0.0195      0.0143     0.01753      0.0126     0.01541     0.01077    0.003457    0.002573    0.003193    0.002377    0.001733    0.001028
340      0.1935     0.08735      0.5037      0.2907       1.007      0.5135       1.283      0.7518       1.071      0.6855      0.5751      0.3911      0.1414      0.1011     0.05375     0.03884     0.04826     0.03413     0.04238     0.02908    0.009402    0.006838    0.008684    0.006316    0.003358    0.001803
343      0.4905      0.1701      0.9606      0.4214       1.991        0.95       2.131       1.121       1.358       0.745      0.6251      0.3541      0.1336     0.08034     0.05074     0.03116     0.04561     0.02704     0.04011     0.02262    0.008951    0.005599    0.008268    0.005172    0.005076    0.002359
356       1.211      0.3843       2.329      0.2115       4.135      0.7275       4.366       1.645       3.194       1.551       1.577      0.8757      0.3613      0.2213      0.1378     0.08665      0.1238     0.07535      0.1088     0.06325     0.02447     0.01569      0.0226     0.01451     0.01123    0.003767
365      0.1565     0.05948      0.3582       0.179      0.7755      0.3945       0.938       0.538      0.7107      0.4663      0.3527      0.2489     0.08046     0.06014     0.03026     0.02283     0.02716     0.02012     0.02383     0.01721    0.005267    0.004005    0.004867    0.003698    0.002432    0.001396
368       0.233      0.1156      0.4852      0.2522      0.8479      0.3641      0.8015      0.3305       0.497      0.2343      0.2219      0.1183     0.04727       0.027     0.01799     0.01045     0.01617    0.009024     0.01423    0.007494     0.00318    0.001873    0.002938    0.001731    0.002333    0.001049
371      0.1933      0.1593      0.2896      0.2319      0.9953      0.8387       2.462       1.841       3.865       1.767       5.115       1.085       3.681       1.541       2.461       1.496       2.332       1.412       2.178       1.307      0.7368      0.5622      0.6891       0.528     0.01237    0.002524
374       1.267      0.2906       2.417      0.1555       4.462      0.2375       4.244      0.5765       2.548      0.4535       1.121       0.236      0.2316     0.05545     0.08692     0.02168     0.07805     0.01617     0.06857     0.01028     0.01517     0.00395     0.01401     0.00365     0.01126    0.001135
375      0.7561      0.3399       1.547      0.3455       3.208      0.4945        3.74       1.448       2.949       1.536       1.529      0.9202      0.3657      0.2442      0.1391     0.09493      0.1249     0.08308      0.1097     0.07038     0.02448     0.01695     0.02261     0.01567     0.01015    0.002335
376       1.221      0.8303       1.934      0.9325       6.671       1.222        11.9       1.245       13.08        2.21       10.43       2.626       3.796       1.422       1.619       0.686       1.461      0.5755       1.289       0.454       0.289      0.1285      0.2667      0.1186     0.03461    0.004605
379      0.1653      0.0305      0.3257     0.05745       1.036      0.3333       3.196       0.561       4.755      0.4935       5.059      0.2555       2.865       0.533       1.433       0.335       1.315       0.266       1.184       0.188      0.2917      0.0848      0.2696     0.07855     0.01185     0.00092
381      0.4858     0.06295      0.8252      0.1694        2.27       0.541       4.231      0.2505       5.354      0.6895       4.936      0.8965       2.319      0.5365       1.094      0.2767      0.9985      0.2182      0.8907      0.1517      0.2072       0.057      0.1913      0.0527     0.01381     0.00094
385       1.017      0.6471       1.733       0.611       5.386      0.8655       9.241      0.5435       9.634       1.255       7.222       1.782       2.414       0.903      0.9912      0.4128      0.8925      0.3438      0.7857      0.2687      0.1741     0.07568      0.1607     0.06989     0.02562     0.00321
390      0.0877      0.0555       0.145     0.06903      0.2277      0.1704      0.3011      0.2747       0.293      0.2809      0.2013      0.1967     0.05983     0.05887      0.0235     0.02313     0.02114     0.02079     0.01861     0.01827    0.004139    0.004065    0.003822    0.003755    0.000738    0.000738
391     0.06754     0.03196      0.1652     0.06833      0.4073      0.1873      0.7422      0.4689      0.7923      0.5497      0.5975      0.4425      0.1941      0.1522     0.07832     0.06238     0.07045     0.05534     0.06202     0.04778     0.01369     0.01096     0.01264     0.01012    0.002092    0.001306
394      0.4127       0.193      0.7565      0.3836         1.4      0.6791       1.676       1.182       1.424       1.187      0.8006      0.7144      0.2072      0.1908     0.08004     0.07396     0.07197     0.06621     0.06329     0.05786      0.0142     0.01315     0.01312     0.01216    0.004295    0.002579
398      0.1328     0.06711      0.2539      0.1572      0.4513      0.2817      0.4406      0.2809       0.289      0.1918      0.1352     0.09216     0.02909     0.02037       0.011    0.007788    0.009886    0.006838    0.008688    0.005818    0.001932    0.001391    0.001785    0.001285    0.001243    0.000821
399      0.2455      0.0441      0.5567      0.1404       1.826       0.281       2.729       0.334       2.955      0.5565       2.295      0.5325      0.8043      0.2247      0.3349     0.09955      0.3014     0.07795      0.2652     0.05465     0.05834     0.01782     0.05382     0.01644    0.008766    0.001147
401      0.2168      0.0434      0.5364      0.1661       1.195      0.3417       1.426      0.3735       1.087      0.2666      0.5388      0.1258      0.1182     0.03114     0.04404     0.01205      0.0395    0.009175     0.03464    0.006095    0.007628    0.002151    0.007044    0.001987    0.003703    0.001079
407       3.912       1.719       8.116        1.05        17.4       1.055       22.13        1.83       18.37        2.83       9.828       2.022       2.405       0.612      0.9137      0.2474      0.8207      0.1888      0.7208       0.126      0.1601      0.0458       0.148     0.04235     0.05423     0.00849
