#   SAVEDid      xmeAGN       xfAGN       xeAGN      xmeSFR       xfSFR       xeSFR       xfTOT       xeTOT       xf_zz       xe_zz
#
1335       1.884       1.837       1.837       11.85       10.35       4.986        11.7       5.616       1.018      0.1799
1337       12.88        9.23        9.23       8.472       16.55       8.079       23.13       10.74       0.931      0.1201
1338           0       6.269       6.269       38.91       35.47       3.442       40.46       7.531       1.358           0
1341       1.782        2.51        2.51       21.88       21.27       2.292       23.35       3.234       1.008           0
1342           0   0.0002797   0.0002797   1.526e-06    0.004472    0.004471    0.004472    0.004471       0.041        0.04
1348     0.09868     0.09384     0.09384      0.7394      0.7888      0.5009      0.9029      0.4746      0.5233        0.04
1350     0.06162       2.199       2.199        20.8        15.5       8.942       15.62       8.822       1.156      0.1902
1355       3.891       2.883       2.883       8.618       10.83        7.57       12.29       7.142       1.192        0.19
1357           0       1.645       1.645       12.89       12.31       4.431       13.71       3.027       1.365           0
1367           0      0.6885      0.6885       17.81       14.91       2.903        15.3       2.514       1.787           0
1368       3.399       42.51       42.51       167.7       183.9       64.08       201.6       80.17        2.54       0.319
1369       16.87       36.69       36.69       76.51       77.29       31.72       97.01       49.09        2.11        0.28
1371     0.01791      0.5332      0.5332       5.603       4.641       1.007       5.047      0.6005       1.037           0
1384           0       18.73       18.73       42.46       58.58       30.14       71.17       42.35        1.32       0.209
1387       1.503       168.4       168.4         154       185.3       170.6         344       328.3       2.451        1.55
1391      0.4624       0.466       0.466       6.494       5.589       2.591       5.927       2.313       1.038           0
1393           0      0.8195      0.8195       17.15        17.8       10.68       18.49       11.28        1.21        0.19
1394           0      0.2672      0.2672       4.119       4.043     0.07587       4.274      0.2867      0.2995           0
1396      0.2512      0.4063      0.4063       2.122       1.884       1.279       2.033       1.193      0.7152        0.15
1401       5.237       4.989       1.528       33.75          24       18.21       29.15       17.73       2.072      0.0795
1402        4.38       3.431       3.431       62.24       51.57       25.49       54.75       27.05        1.84       0.256
1416        3.78       3.335       3.335       15.84       20.04        8.44       22.89       5.584       2.291           0
1419           0      0.7556      0.7556       8.511        7.17        1.34       7.781      0.7302       1.148           0
1420      0.1436       10.33       10.33       85.81       65.24       37.31       67.45       38.97        1.54       0.229
1434           0       1.477       1.477        3.89       3.601      0.5098       5.086       1.196      0.4852           0
1437       11.27       12.84       2.328       24.48       24.16       1.292       37.07       1.321       1.344           0
