#            id      dis_to_MS        name_SB           LTIR           MSIR            SFR    lgSFR_MS_Sargent                Mstar
#
           1042      -0.188643             MS      2.697e+10    4.16413e+10          2.697            0.619524             9.60995
           1053      -0.179159             MS      7.384e+11    1.11545e+12          73.84             2.04745              10.752
           1058      -0.676006             MS      4.729e+10    2.24272e+11          4.729             1.35078              10.552
           1064     -0.0280025             MS      2.538e+10    2.70704e+10          2.538            0.432494             9.77195
           1075      -0.379586             MS      9.752e+10    2.33712e+11          9.752             1.36868              10.562
           1076       0.771177             SB      6.461e+11    1.09427e+11          64.61             1.03912             9.80195
           1077      0.0480912             MS      1.285e+11     1.1503e+11          12.85             1.06081              10.262
           1081        1.02057             SB      5.061e+09    4.82693e+08         0.5061            -1.31633             7.92195
           1084      0.0917902             MS      6.134e+11    4.96539e+11          61.34             1.69595              10.912
           1089      -0.245248             MS      1.043e+11    1.83456e+11          10.43             1.26353              10.492
           1091      0.0258658             MS      2.896e+11    2.72856e+11          28.96             1.43593             9.89195
           1094       0.565176             MS      2.544e+12    6.92374e+11          254.4             1.84034              10.292
           1101      0.0036001             MS      8.822e+10    8.74917e+10          8.822            0.941967              10.002
           1102       0.313635             MS      2.273e+10    1.10399e+10          2.273           0.0429646             9.38995
           1103       0.445658             MS      5.936e+11    2.12733e+11          59.36             1.32784              10.302
           1104       0.427009             MS      4.723e+10    1.76689e+10          4.723            0.247209             9.52995
           1105      -0.237378             MS       1.73e+11     2.9883e+11           17.3             1.47542              10.782
           1109            -99        unknown      1.111e+12            -99          111.1                 -99                 -99
           1113       0.418254             MS      1.493e+11     5.6991e+10          14.93            0.755806             9.52195
           1118       0.474728             MS      1.927e+10    6.45882e+09          1.927           -0.189847             9.18195
           1121      -0.961131             MS      5.354e+10    4.89564e+11          5.354             1.68981              11.172
           1123      0.0814616             MS       5.68e+11    4.70855e+11           56.8             1.67289              10.132
           1125       -0.90794             MS      4.861e+10    3.93247e+11          4.861             1.59467              10.872
           1129       0.281969             MS      7.696e+11    4.02065e+11          76.96              1.6043              10.162
           1133      -0.326661             MS      2.042e+09    4.33229e+09         0.2042           -0.363283             9.10195
           1135        2.45272             SB      1.872e+09    6.60071e+06         0.1872            -3.18041             5.66995
           1140       0.689189             SB      1.043e+10    2.13351e+09          1.043           -0.670905             8.48195
           1141       0.341489             MS      2.163e+11    9.85298e+10          21.63            0.993568              10.002
           1143      -0.269465             MS      1.261e+10     2.3452e+10          1.261             0.37018              10.002
           1144      -0.939697             MS      6.289e+10    5.47367e+11          6.289             1.73828              10.842
           1146            -99        unknown      3.733e+12            -99          373.3                 -99                 -99
           1147      0.0224516             MS      1.487e+11    1.41208e+11          14.87             1.14986              10.142
           1148       0.143326             MS      4.667e+12    3.35515e+12          466.7             2.52571              11.202
           1150       0.036943             MS      2.277e+11    2.09132e+11          22.77             1.32042              10.292
           1159       0.282718             MS      5.149e+12    2.68537e+12          514.9               2.429              11.072
           1160      -0.382506             MS      2.069e+11     4.9919e+11          20.69             1.69827              10.322
           1167       0.852622             SB      2.004e+12    2.81368e+11          200.4             1.44928             9.88195
           1168            -99        unknown      5.804e+12            -99          580.4                 -99                 -99
           1172      -0.460392             MS      8.517e+10    2.45855e+11          8.517             1.39068              10.402
           1181       -0.41711             MS      9.756e+10    2.54907e+11          9.756             1.40638              10.182
           1186     -0.0919844             MS      2.132e+11    2.63495e+11          21.32             1.42077              10.362
           1202      0.0570862             MS      1.304e+11    1.14338e+11          13.04             1.05819             9.70995
           1208       0.220476             MS      1.972e+11    1.18695e+11          19.72             1.07443             9.90195
           1221       0.119875             MS      1.497e+11    1.13592e+11          14.97             1.05535              10.092
           1222       0.131283             MS      3.666e+10    2.70962e+10          3.666            0.432909             9.47995
           1225      0.0844831             MS      6.678e+10    5.49748e+10          6.678            0.740163              10.212
           1235       0.315965             MS      2.267e+11    1.09518e+11          22.67             1.03949              10.272
           1239      -0.527627             MS       3.42e+11    1.15253e+12           34.2             2.06165              11.612
           1248       0.583187             MS      8.023e+11    2.09483e+11          80.23             1.32115              10.372
           1252      0.0443566             MS      1.402e+11    1.26588e+11          14.02             1.10239             9.61995
           1253       0.146838             MS      2.894e+11    2.06377e+11          28.94             1.31466              10.032
           1262      -0.983226             MS      4.179e+12    4.02067e+13          417.9              3.6043              12.502
           1269       0.570388             MS       1.56e+12    4.19505e+11            156             1.62274              10.282
           1270      0.0253091             MS      6.338e+10     5.9792e+10          6.338            0.776643             9.79195
           1273      -0.199533             MS      2.387e+10    3.77907e+10          2.387            0.577385             9.81195
           1278      0.0196663             MS      1.526e+11    1.45844e+11          15.26             1.16389             9.99195
           1284        0.53933             MS      3.486e+12    1.00692e+12          348.6               2.003              10.492
           1285       0.839951             SB      3.067e+09    4.43367e+08         0.3067            -1.35324             7.89995
           1293       0.089128             MS      8.983e+10    7.31633e+10          8.983            0.864293              10.132
           1303       0.320769             MS      1.742e+10    8.32299e+09          1.742          -0.0797204             9.07995
           1306        0.70438             SB      5.976e+07     1.1804e+07       0.005976            -2.92797             6.08995
           1313       0.771943             SB      1.432e+10    2.42103e+09          1.432              -0.616             8.62195
           1315       0.220434             MS        4.4e+11    2.64862e+11             44             1.42302              10.232
           1320       0.173759             MS      1.593e+11    1.06772e+11          15.93             1.02846              10.072
           1334      -0.795226             MS      1.475e+11    9.20487e+11          14.75             1.96402              10.932
           1335       0.142162             MS      1.035e+11    7.46069e+10          10.35            0.872779             9.96195
           1337       0.344076             MS      1.655e+11    7.49414e+10          16.55            0.874722              10.032
           1338      0.0980515             MS      3.547e+11    2.83015e+11          35.47             1.45181              10.462
           1341       0.255589             MS      2.127e+11    1.18081e+11          21.27             1.07218              10.222
           1342      -0.203629             MS      4.472e+07    7.14711e+07       0.004472            -2.14587             7.07995
           1348      -0.248735             MS      7.888e+09    1.39863e+10         0.7888            0.145702             9.46995
           1350       0.206636             MS       1.55e+11    9.63153e+10           15.5            0.983695              10.002
           1355      -0.031904             MS      1.083e+11    1.16555e+11          10.83             1.06653              10.082
           1357      -0.017346             MS      1.231e+11    1.28116e+11          12.31              1.1076              10.022
           1367      0.0302241             MS      1.491e+11    1.39076e+11          14.91             1.14325             9.84195
           1368      0.0199796             MS      1.839e+12    1.75631e+12          183.9              2.2446              10.972
           1369       0.103288             MS      7.729e+11    6.09305e+11          77.29             1.78484              10.522
           1371      0.0764075             MS      4.641e+10    3.89228e+10          4.641            0.590204             9.58995
           1384       0.334635             MS      5.858e+11    2.71091e+11          58.58             1.43311              10.462
           1387            -99        unknown      1.853e+12            -99          185.3                 -99                 -99
           1391       0.124938             MS      5.589e+10    4.19175e+10          5.589            0.622396             9.62995
           1393        0.45073             MS       1.78e+11    6.30507e+10           17.8             0.79969             9.73195
           1394       0.133608             MS      4.043e+10    2.97232e+10          4.043            0.473096              10.112
           1396      -0.503315             MS      1.884e+10    6.00338e+10          1.884            0.778396              10.092
           1401      0.0645923             MS        2.4e+11    2.06833e+11             24             1.31562             9.94195
           1402     -0.0185251             MS      5.157e+11    5.38173e+11          51.57             1.73092              10.562
           1416      -0.151999             MS      2.004e+11    2.84378e+11          20.04              1.4539              10.042
           1419      -0.518754             MS       7.17e+10    2.36741e+11           7.17             1.37427              10.502
           1420       0.279326             MS      6.524e+11    3.42916e+11          65.24             1.53519              10.462
           1434     0.00415749             MS      3.601e+10    3.56669e+10          3.601            0.552266              10.022
           1437        1.15472             SB      2.416e+11     1.6919e+10          24.16            0.228375             8.92195
           1445     -0.0346681             MS      3.697e+12    4.00422e+12          369.7             2.60252              11.462
           1449      -0.375192             MS       1.93e+10    4.57877e+10           1.93            0.660749              10.132
           1452       0.398473             MS      5.189e+11    2.07306e+11          51.89             1.31661              10.302
           1458       0.156072             MS      3.349e+11    2.33799e+11          33.49             1.36884              10.282
           1469       -1.06254             MS       2.83e+10    3.26834e+11           2.83             1.51433              10.712
           1475       0.270332             MS      1.488e+12    7.98493e+11          148.8             1.90227              10.782
           1476      -0.432687             MS      6.124e+10    1.65853e+11          6.124             1.21972              10.542
           1477      -0.667715             MS      9.035e+06    4.20381e+07      0.0009035            -2.37636             6.82195
           1479      -0.188158             MS      5.382e+10    8.30045e+10          5.382            0.919102              10.092
           1480      -0.800714             MS      3.064e+11    1.93643e+12          30.64               2.287              10.992
           1490       0.408761             MS       1.42e+12    5.54023e+11            142             1.74353              10.552
           1491       0.328452             MS      1.759e+11    8.25685e+10          17.59            0.916814              10.162
           1495            -99        unknown      4.509e+12            -99          450.9                 -99                 -99
           1497       -0.22818             MS      5.815e+11    9.83399e+11          58.15             1.99273              10.732
           1501      -0.235161             MS      4.861e+11    8.35384e+11          48.61             1.92189              11.012
           1502      0.0733009             MS      2.467e+11    2.08386e+11          24.67             1.31887             9.96195
           1513      -0.919515             MS      6.116e+10    5.08139e+11          6.116             1.70598              11.022
           1515       0.331453             MS      2.799e+11    1.30482e+11          27.99             1.11555              10.142
           1520      -0.911063             MS      1.343e+10    1.09431e+11          1.343             1.03914              10.592
           1524      -0.274743             MS      3.429e+10    6.45521e+10          3.429            0.809911             9.99195
           1525       -2.17889             MS       1.73e+10    2.61175e+12           1.73             2.41693              12.232
           1532      -0.856946             MS      3.155e+10    2.26958e+11          3.155             1.35595              10.602
           1533       0.426342             MS      1.746e+11    6.54187e+10          17.46            0.815702              10.112
