#           _id          snr24        snr20cm         snr100         snr160         snr250         snr350         snr500        snr1160          snrIR         snrIRMM
#
            793        1.16203        2.73505    5.19131e-05    2.33402e-05            -99            -99            -99            -99    5.69187e-05        3.18369
            804        8.53609          1.214       0.846211        1.40118            -99            -99            -99            -99        1.63688        8.77599
            805        5.68258         1.4511        1.95875        1.01148        2.01605            -99            -99            -99        2.98735        7.14647
            807        10.2092        4.91142        6.34112        5.07341        2.44028          1.119    4.34588e-08       0.173865        8.55492        14.1964
            808        25.0516        6.40763        7.81111        2.12567    5.05036e-08            -99            -99            -99        8.09518        27.0956
            809        6.73159       0.578507       0.281737      0.0070622            -99            -99            -99            -99       0.281825        6.76228
            825         5.8477        3.39214       0.614039       0.925219            -99            -99            -99            -99        1.11044        6.85093
            826        15.8945        2.26373        1.66032        2.76635            -99            -99            -99            -99        3.22635        16.3759
            827        24.9347           33.2         12.761        12.1804        3.69988        6.23934        5.18963       0.568176        19.7757        45.9898
            837        4.04111        3.46616        1.06448          1.154        1.11798    4.73899e-08         0.4002       0.816479        2.13108        6.06908
            841       0.379411        3.69839        0.44782       0.592652    1.35344e-07    5.60594e-08    3.27879e-08        2.92415        3.01702        4.78795
            849        4.86864        3.70608        1.10139    1.68991e-05            -99            -99            -99            -99        1.10139        6.21705
            860        23.1645        2.17149      0.0523868        1.41222              0            -99            -99            -99        1.41319        23.4608
            866        7.02829        1.53827    3.58486e-05        1.13951            -99            -99            -99            -99        1.13951        7.45569
            867        6.51624       0.163847       0.215791         2.5718            -99            -99            -99            -99        2.58084        8.42911
            870        22.9478        5.55882        16.4812        12.2986        2.25943       0.586161            -99            -99        20.6962         31.398
            872           24.6        1.72864        2.88698    1.52915e-05            -99            -99            -99            -99        2.88698         24.829
            877        4.35816        3.41463       0.373887    9.13965e-06        1.35819            -99            -99            -99        1.40872        5.71295
            878        18.3142       0.622561        4.32226        1.83548            -99            -99            -99            -99        4.69584        20.1786
            881        5.31843        0.25401        2.10481       0.733387            -99            -99            -99            -99        2.22892        5.89781
            884        16.2961              0       0.123999        6.77259        2.98878        1.99861       0.902593    1.83305e-10        7.72174        18.0428
            885        27.3127         4.8519        8.14637        1.31299        1.84942            -99            -99            -99        8.45622         38.419
            886        11.1874        1.99684        1.88653        1.70659            -99            -99            -99            -99         2.5439        12.7503
            892        8.86636        1.95532      0.0591837        1.57266            -99            -99            -99            -99        1.57378        9.21479
            893         30.453        6.93333        7.95095        7.66618        4.63444        2.14296            -99            -99        12.1679        37.1924
            899        8.58497        1.91874       0.482248    1.67008e-05            -99            -99            -99            -99       0.482248        9.02084
            902        29.7645        3.12785        6.25202         6.4324        4.08559        1.47151            -99            -99        9.96599        35.1071
            915        24.9351        5.21429        1.90476        8.56235        5.00247        1.45218       0.367331        1.70894        10.3504        27.7086
            917        19.4175        2.09596        4.59483        5.11521        3.75195        3.83328         1.8842    2.44266e-10        8.92184        21.4716
            922        3.99518       0.494919       0.839388        1.87572            -99            -99            -99            -99        2.05497        5.32341
            923        24.3492        8.34754        5.72829        6.65114        3.79512        2.42573        1.13976       0.731599        9.95854        27.5996
            924        4.71933        2.54021    4.87379e-05       0.624537            -99            -99            -99            -99       0.624537        5.39581
            926        2.01834        1.02714          2.234    1.18417e-05        1.47082            -99            -99            -99        2.67471        3.94296
            928       0.489209        3.05118       0.382986       0.986491            -99            -99            -99            -99        1.05823        3.51489
            931        15.3009              0        3.11983        4.33555    6.72323e-08            -99            -99            -99        5.34138        16.2065
            934        14.2121       0.876475        1.95467        2.92549            -99            -99            -99            -99        3.51841        14.8491
            937        13.0322        2.02094        4.32824      0.0381943            -99            -99            -99            -99        4.32841        13.8802
            939        28.4766        11.2333        15.3623        7.65898        1.38899        1.63631            -99            -99        17.2993        50.6528
            950        19.5015       0.732238        2.99792       0.626012            -99            -99            -99            -99        3.06258        21.8611
            951        5.55488        4.70799        2.54451        4.77349        1.99942            -99            -99            -99        5.76701        11.3382
            960        6.85073        1.04175    2.48433e-05         1.1121            -99            -99            -99            -99         1.1121        7.01816
            965        12.1429        1.18907    5.61521e-05        3.45187        1.13841            -99            -99            -99        3.63475        12.9616
            966        7.50625        1.83809       0.932384    2.22222e-05            -99            -99            -99            -99       0.932384        8.17233
            972        3.94697       0.955689       0.475929    1.85218e-05            -99            -99            -99            -99       0.475929        4.18694
            974        2.07962        3.74379            -99            -99            -99        1.23212       0.973479        1.65143              0        4.85116
            994        8.31298       0.460121       0.884713       0.351984            -99            -99            -99            -99       0.952161        8.37997
            995        7.08364         3.1081        2.61352        3.77732        3.45717        1.67092            -99            -99        5.98687        10.4662
           1002        21.5625        6.55075        4.84365        2.49751            -99            -99            -99            -99        5.44963        26.3278
           1005        21.5717        7.37931        7.97674        11.0073        5.06716        1.72897        1.75245    4.80704e-10        14.7148         27.828
           1006        32.4295        10.2812        18.6533        23.2288        5.00632        2.07207            -99            -99          30.28        51.8744
           1008         31.687        3.27609        8.85171        8.57809        3.35247        1.63482            -99            -99        12.8782        37.9785
           1023        3.22255       0.444408       0.651735        2.08972            -99            -99            -99            -99        2.18899        3.92097
           1026        9.42715        1.00664    5.56747e-05         1.3205            -99            -99            -99            -99         1.3205        9.63019
           1035        6.03474              0      0.0238027    3.12048e-05            -99            -99            -99            -99      0.0238027        6.37936
           1036        7.27224        1.02408       0.182058     1.3066e-05      0.0405366    4.50737e-08       0.249449    2.35489e-10       0.311469        7.35059
           1037         20.956        3.62309        3.20763        3.19054        2.61648            -99            -99            -99        5.22632        21.8997
           1042        2.54754        2.50196        1.92419            -99            -99            -99            -99            -99        1.92419        4.22245
           1053         20.173        1.99542        3.55638       0.936054        0.23601       0.364625            -99    4.08516e-10        3.70307        20.6069
           1058        4.91154        2.59375    5.16993e-05        2.12373            -99            -99            -99            -99        2.12373        6.28068
           1064        11.5017        1.70132        3.03549        2.28436            -99            -99            -99            -99        3.79901        12.2317
           1075        16.2284       0.827697       0.985259        1.02975            -99            -99            -99            -99        1.42518        18.1771
           1076        9.14558              0        5.19605        1.47072         1.2069         2.1373            -99         0.7346        5.97714        11.2742
           1077        25.2604        3.54555        3.50228        2.15294         1.4031            -99            -99            -99        4.34394        31.3014
           1081        12.7314        1.63431        1.55306        1.53702            -99            -99            -99            -99        2.18505        13.0205
           1084        32.6499        4.30986        13.2988        11.8143        6.20072        3.58043        3.20117       0.851522        19.4596        44.9576
